branch,module,seed,snapshot,target_step,A,beta,c,gamma
bigram,bigram,42,E1,337,0.26385915492853823,-0.6244036969963049,0.04817017708170106,0.006905178990385376
bigram,bigram,43,E1,337,0.04089655859894163,-0.342287163936081,0.00020113417904868566,2.5870651052682243
bigram,bigram,44,E1,337,0.3484649581195505,-1.5490501280787774,0.000751290338088853,0.08480202979570758
bigram,trigram,42,E1,337,0.36071521202203816,-1.1223097108440263,0.00491028270476184,0.00037927078669647973
bigram,trigram,43,E1,337,0.3389885000970036,-0.7147702242768602,0.026732074482151515,0.0006032975456229661
bigram,trigram,44,E1,337,0.2571857789842443,-1.0934624648783167,0.00756950528444432,1.4370729078212394e-07
bigram,both,42,E1,337,0.39987897677752177,-1.546005112305278,0.0006593753548644147,0.11242747368432048
bigram,both,43,E1,337,0.3717570681772872,-1.3632970917915956,0.001924233734443893,0.018971872982183644
bigram,both,44,E1,337,1.3088923122988279,-1.3387152458695972,0.0004805818866941597,0.08360893370684488
bigram,bigram,42,E3,1012,9.098641539620505,0.5889618674631449,1.525623226756483,0.6352124021339859
bigram,bigram,43,E3,1012,4.410998606648149,0.5899676069671,1.446916881991304,0.7281252463741591
bigram,bigram,44,E3,1012,3.7566542421185543,0.6028212340456578,1.5540013285649992,0.6976594464359547
bigram,trigram,42,E3,1012,2.7143281596393374,0.11207214321142556,2.783488100963164,0.6532192821031547
bigram,trigram,43,E3,1012,5.0892568538358836,0.125001016201688,2.4109417873695547,0.44407856462078454
bigram,trigram,44,E3,1012,4.95763589382245,0.10916870131314699,2.6854998753198647,0.47765706202342867
bigram,both,42,E3,1012,5.337439846130971,0.4339178466728236,1.4477726311360781,0.5231567149873907
bigram,both,43,E3,1012,11.55683878203694,0.38616280199115377,1.3364023670668064,0.514667889680615
bigram,both,44,E3,1012,12.1389291920901,0.3773627043406427,1.3025699861633935,0.5389461091371828
bigram,bigram,42,E6,2022,13.328345107567362,0.4444353557539363,1.4726413253191613,4.975
bigram,bigram,43,E6,2022,9.597252069891491,0.6770265167943096,1.2334139699634505,0.8653769645424716
bigram,bigram,44,E6,2022,9.090720929608342,0.685987788424163,1.2674777573377323,0.9256628116854789
bigram,trigram,42,E6,2022,4.97871372428428,0.1330891947350294,2.437542743110394,0.5176070382477703
bigram,trigram,43,E6,2022,10.956291923651449,0.11398551888185972,2.0277777128023917,0.35251081919566174
bigram,trigram,44,E6,2022,10.422234688670917,0.10004862778420129,2.3305323546451993,0.3852636763961763
bigram,both,42,E6,2022,12.940104957157406,0.45158671477313217,1.0779302717627883,0.5307146921927377
bigram,both,43,E6,2022,13.71806791510583,0.21635804988040913,1.972923924244722,0.5513900080685202
bigram,both,44,E6,2022,13.629706613787173,0.20579091886378378,2.1288967133006,0.6025190370724552
trigram,bigram,42,E1,337,0.37026056042215383,-0.5816596744776168,0.025098503996175057,0.0028429846254395975
trigram,bigram,43,E1,337,0.5436845483561477,-1.8316478715113407,3.2051193506899125e-05,0.4343016550282051
trigram,bigram,44,E1,337,0.3980704403564115,-3.623795302590702,2.0041148902123647e-13,3.653544812428126
trigram,trigram,42,E1,337,0.37929517251492,-0.4370226893529063,0.0369014654809591,2.9625060578297724e-08
trigram,trigram,43,E1,337,0.2758137250360956,0.2833863829330028,3.521105431788035e-07,4.999999657563149
trigram,trigram,44,E1,337,3.28931472699272,0.9775658340507027,5.532801695380021e-08,4.99999999999997
trigram,both,42,E1,337,71.98802060080999,1.700098496377761,1.75623549706787e-07,4.209901992093351
trigram,both,43,E1,337,349462.06564938807,3.756928370704903,3.287314817803139e-08,4.332506631981173
trigram,both,44,E1,337,2.0547759502448044,0.8144215759677281,2.0142612354417535e-07,4.5608803132768685
trigram,bigram,42,E3,1012,1.650736098529326,0.4465692917978928,25.066208554397804,0.5793151405941206
trigram,bigram,43,E3,1012,0.8252318967336771,0.42103645235252724,3.1126875813319916,1.2262245661474614e-05
trigram,bigram,44,E3,1012,0.6613097890364803,0.41101002646175244,13.596195255730919,7.777022537135418e-05
trigram,trigram,42,E3,1012,31.31471833335118,0.981912661779318,0.06669255564309311,0.8249292569393875
trigram,trigram,43,E3,1012,9.045608772935246,0.6021127020118566,0.5457646932029739,0.6075285732659625
trigram,trigram,44,E3,1012,15.485329115614116,0.7070219943490517,0.297239585350597,0.6220774551475698
trigram,both,42,E3,1012,57446785.9246585,4.649228769694093,2.4805505739806337e-08,4.300267936653586
trigram,both,43,E3,1012,36911.4708297437,2.462772298161139,0.00010086354742182654,2.1202687871271606
trigram,both,44,E3,1012,232.7009339998445,1.257695626906933,0.01722803422798605,0.9633175661909743
trigram,bigram,42,E6,2022,2.9722839939985297,0.314695133855433,4.676003609379913,4.959388894905978
trigram,bigram,43,E6,2022,1.3698144732630757,0.346553999012181,24.338137809893126,1.502277672107441
trigram,bigram,44,E6,2022,1.2848775549113005,0.34844599825265654,23.331611564543547,1.4748171380504076
trigram,trigram,42,E6,2022,8.173080370168348,0.6466179374064356,0.5471878131287867,0.6724376204395012
trigram,trigram,43,E6,2022,25.78204569035386,0.7551160379636301,0.4268396437300156,0.8925049162974303
trigram,trigram,44,E6,2022,26.943310023578714,0.7669954998465582,0.4080790390560651,0.8823278908616462
trigram,both,42,E6,2022,3.6972198455546983,0.4280139166627234,2.109221165672312,4.608029261197523
trigram,both,43,E6,2022,20.330247945700055,0.6123703100545418,0.5176839345911106,0.6891908529557288
trigram,both,44,E6,2022,22.116989465316603,0.6160654605781765,0.48328593678874787,0.6901463174418265
