axis,branch,run_id,seed,step,R,K,K_over_R,collision_rate,final_train_loss,final_val_loss,final_gap,gap_337,gap_674,gap_1000,freq_index_sha256,source_code_revision,source
table_size,bigram,s1v5_128_tbl_bi2_R494000,42,1000,494000,3541098,7.168214574898785,,2.6695644855499268,5.315385222434998,2.645820736885071,-0.060068488121032715,1.114837408065796,2.645820736885071,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi2_R494000_fixed
table_size,bigram,s1v5_128_tbl_bi2_R56000,42,1000,56000,3541098,63.233892857142855,,3.24112868309021,5.610638618469238,2.3695099353790283,-0.06803178787231445,0.9871238470077515,2.3695099353790283,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi2_R56000_fixed
table_size,bigram,s1v5_128_tbl_bi2_R675000,42,1000,675000,3541098,5.246071111111111,,2.640015125274658,5.302314400672913,2.6622992753982544,-0.06460654735565186,1.1600176095962524,2.6622992753982544,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi2_R675000_fixed
table_size,bigram,s1v5_128_tbl_bi2_R76000,42,1000,76000,3541098,46.59339473684211,,3.169759511947632,5.54310154914856,2.3733420372009277,-0.07012200355529785,0.9941204786300659,2.3733420372009277,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi2_R76000_fixed
table_size,bigram,s1v5_128_tbl_bi2_R922000,42,1000,922000,3541098,3.8406702819956617,,2.576690673828125,5.286760687828064,2.710070013999939,-0.05670762062072754,1.1906715631484985,2.710070013999939,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_bi2_R922000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R104000,42,1000,104000,19027841,182.96000961538462,,3.373690366744995,4.730609655380249,1.356919288635254,-0.053559303283691406,0.5594425201416016,1.356919288635254,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R104000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R1259000,42,1000,1259000,19027841,15.113455917394758,,2.4737555980682373,5.358283758163452,2.884528160095215,-0.05996978282928467,1.2787679433822632,2.884528160095215,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R1259000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R142000,42,1000,142000,19027841,133.99888028169013,,3.2563817501068115,4.775391101837158,1.5190093517303467,-0.05575454235076904,0.6414238214492798,1.5190093517303467,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R142000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R16000,42,1000,16000,19027841,1189.2400625,,3.548386812210083,4.592233419418335,1.043846607208252,-0.0594935417175293,0.43246889114379883,1.043846607208252,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R16000_fixed
table_size,trigram,s1v5_128_tbl_tri2_R1719000,42,1000,1719000,19027841,11.069133798720186,,2.3278820514678955,5.455864787101746,3.12798273563385,-0.060894012451171875,1.4290924072265625,3.12798273563385,763a5548f75a7e326370610112fa58f61bcaa37d5a558c33caa3c7482007673d,7583ae3222ffb4bbfb13262295a6a828e1f08d3f,data/runs_scaling/s1v5_128_tbl_tri2_R1719000_fixed
