run_id,branch,step,f,gap,shared_token_mass,shared_contexts,seed,source
s1v5_128_frequency_main,bigram,1000,328,2.0142572790670172,25912,79,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,569,1.601702726654837,16501,29,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,5,5.637133420084138,1275,255,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,472,1.179226905068693,26904,57,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,95,2.314305070697913,24890,262,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,794,-0.26168387160739964,14292,18,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,879,0.37868752075346973,16701,19,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,793,1.6951214967827712,11102,14,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,869,-0.17121719537923732,10428,12,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,464,1.0101880116017128,22272,48,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,59,2.3392094668318735,17936,304,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,312,2.0650306804071885,22464,72,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,1247,1.9497946202754974,2494,2,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,1524,-0.2571507692337036,3048,2,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,253,2.1667624421266574,27830,110,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,421,1.1827173010361465,23155,55,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,21883,-0.25044575333595276,21883,1,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,903,2.8469954947630565,13545,15,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,101,2.129117647444933,23129,229,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,545,1.8365594021559037,26705,49,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,615,0.7590034805191681,15375,25,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,425,1.641552936785889,22950,54,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,178,1.8702558265580842,23318,131,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,523,1.2968232777872772,17259,33,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,454,0.22459595732685889,19976,44,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,735,2.4064846113712215,17640,24,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,327,1.089900989707962,19293,59,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,248,1.290887981444986,24056,97,42,data/runs_scaling/s1v5_128_frequency_main_fixed
s1v5_128_frequency_main,bigram,1000,1040,1.8284154532011598,4160,4,42,data/runs_scaling/s1v5_128_frequency_main_fixed
