branch,R,run_id,step,seed,beta,r2,positive_bins,final_gap,identifiable,source
trigram,76000,s1v5_128_tbl_tri1_R76000,1000,42,0.11807104723384756,0.9176369683748296,7,0.4708675146102905,True,data/runs_scaling/s1v5_128_tbl_tri1_R76000_fixed/exact_freq_loss.jsonl
trigram,104000,s1v5_128_tbl_tri1_R104000,1000,42,0.14984406299540853,0.9474891752079501,7,0.5698717832565308,True,data/runs_scaling/s1v5_128_tbl_tri1_R104000_fixed/exact_freq_loss.jsonl
trigram,142000,s1v5_128_tbl_tri1_R142000,1000,42,0.15230989714238996,0.9923547131963063,7,0.6969436407089233,True,data/runs_scaling/s1v5_128_tbl_tri1_R142000_fixed/exact_freq_loss.jsonl
trigram,194000,s1v5_128_tbl_tri1_R194000,1000,42,0.175511198249715,0.9977125992096978,7,0.8603086471557617,True,data/runs_scaling/s1v5_128_tbl_tri1_R194000_fixed/exact_freq_loss.jsonl
trigram,265000,s1v5_128_tbl_tri1_R265000,1000,42,0.19438624491954912,0.9765080911787576,7,1.0487719774246216,True,data/runs_scaling/s1v5_128_tbl_tri1_R265000_fixed/exact_freq_loss.jsonl
trigram,362000,s1v5_128_tbl_tri1_R362000,1000,42,0.2242780267288333,0.9765966816595005,7,1.3022162914276123,True,data/runs_scaling/s1v5_128_tbl_tri1_R362000_fixed/exact_freq_loss.jsonl
trigram,494000,s1v5_128_tbl_tri1_R494000,1000,42,0.25414376609361666,0.9754689118655824,7,1.5993542671203613,True,data/runs_scaling/s1v5_128_tbl_tri1_R494000_fixed/exact_freq_loss.jsonl
trigram,675000,s1v5_128_tbl_tri1_R675000,1000,42,0.277439476148791,0.9738541204555705,7,1.9307557344436646,True,data/runs_scaling/s1v5_128_tbl_tri1_R675000_fixed/exact_freq_loss.jsonl
trigram,922000,s1v5_128_tbl_tri1_R922000,1000,42,0.3181125922716943,0.9763934683990941,7,2.349722981452942,True,data/runs_scaling/s1v5_128_tbl_tri1_R922000_fixed/exact_freq_loss.jsonl
trigram,1259000,s1v5_128_tbl_tri1_R1259000,1000,42,0.3474551056919875,0.976985221524801,7,2.7709975242614746,True,data/runs_scaling/s1v5_128_tbl_tri1_R1259000_fixed/exact_freq_loss.jsonl
trigram,1719000,s1v5_128_tbl_tri1_R1719000,1000,42,0.37210414908545336,0.9763149171774211,7,3.2236831188201904,True,data/runs_scaling/s1v5_128_tbl_tri1_R1719000_fixed/exact_freq_loss.jsonl
trigram,2000000,s1v5_128_tbl_tri1_R2000000,1000,42,0.38838921007008076,0.9778073983375819,7,3.3561712503433228,True,data/runs_scaling/s1v5_128_tbl_tri1_R2000000_fixed/exact_freq_loss.jsonl
trigram,2347000,s1v5_128_tbl_tri1_R2347000,1000,42,0.39333272107142064,0.9796540490045026,7,3.6166199445724487,True,data/runs_scaling/s1v5_128_tbl_tri1_R2347000_fixed/exact_freq_loss.jsonl
