run_id,response,f,exact_gap,theory_reference,local_slope
l6_response_moments_exact_v1,cubic,8,0.042968749999999965,0.04296875,
l6_response_moments_exact_v1,cubic,16,0.01123046875,0.01123046875,-1.9358696625802834
l6_response_moments_exact_v1,cubic,32,0.002868652343749999,0.00286865234375,-1.9689731043793761
l6_response_moments_exact_v1,cubic,64,0.0007247924804687474,0.00072479248046875,-1.9847332433466944
l6_response_moments_exact_v1,cubic,128,0.00018215179443359383,0.00018215179443359375,-1.9924267802951934
l6_response_moments_exact_v1,cubic,256,4.565715789794894e-05,4.565715789794922e-05,-1.9962282461108012
l6_response_moments_exact_v1,cubic,512,1.1429190635681159e-05,1.1429190635681152e-05,-1.998117814422014
l6_response_moments_exact_v1,cubic,1024,2.8591603040696927e-06,2.859160304069519e-06,-1.999059827245305
l6_response_moments_exact_v1,cubic,2048,7.150229066611086e-07,7.150229066610336e-07,-1.9995301432816035
l6_response_moments_exact_v1,cubic,4096,1.7878483049573076e-07,1.7878483049571514e-07,-1.999765129011979
l6_response_moments_exact_v1,linear,8,0.12499999999999992,0.125,
l6_response_moments_exact_v1,linear,16,0.062499999999999986,0.0625,-0.9999999999999993
l6_response_moments_exact_v1,linear,32,0.03125,0.03125,-0.9999999999999997
l6_response_moments_exact_v1,linear,64,0.015624999999999932,0.015625,-1.0000000000000062
l6_response_moments_exact_v1,linear,128,0.007812500000000014,0.0078125,-0.999999999999991
l6_response_moments_exact_v1,linear,256,0.003906249999999974,0.00390625,-1.0000000000000122
l6_response_moments_exact_v1,linear,512,0.001953124999999983,0.001953125,-1.0000000000000029
l6_response_moments_exact_v1,linear,1024,0.0009765625000000445,0.0009765625,-0.9999999999999218
l6_response_moments_exact_v1,linear,2048,0.0004882812500000312,0.00048828125,-0.9999999999999735
l6_response_moments_exact_v1,linear,4096,0.0002441406250000299,0.000244140625,-0.9999999999999154
l6_response_moments_exact_v1,sign,8,0.27343749999999983,0.28209479177387814,
l6_response_moments_exact_v1,sign,16,0.196380615234375,0.19947114020071635,-0.4775585838369014
l6_response_moments_exact_v1,sign,32,0.13994993409141898,0.14104739588693907,-0.48874172051300435
l6_response_moments_exact_v1,sign,64,0.09934675374796656,0.09973557010035818,-0.4943660755916266
l6_response_moments_exact_v1,sign,128,0.07038609217001544,0.07052369794346953,-0.49718243682964647
l6_response_moments_exact_v1,sign,256,0.04981910993613997,0.04986778505017909,-0.4985911432029133
l6_response_moments_exact_v1,sign,512,0.03524463548583838,0.03526184897173477,-0.49929556219711235
l6_response_moments_exact_v1,sign,1024,0.024927805892980145,0.024933892525089544,-0.4996477799228689
l6_response_moments_exact_v1,sign,2048,0.017628772404847066,0.017630924485867384,-0.4998238898144925
l6_response_moments_exact_v1,sign,4096,0.01246618536376162,0.012466946262544772,-0.499911944888769
