optimizer,run_id,branch,n_bins,slope,r2,mean_gap,implied_a
"SGD m=0.9, scale 1.0",nglab1x_opt_sgd_09_fixed,bigram,11,-0.29788390753762223,0.5215255698585832,0.03921770674069618,-0.40423218492475554
"SGD m=0.9, scale 1.0",nglab1x_opt_sgd_09_fixed,trigram,8,0.09095156098972346,0.05169108022560609,0.025859877707055,-1.181903121979447
"AdamW (0.8,0.95), scale 1.0",nglab1x_opt_adamw_080950_fixed,bigram,18,-0.407324665985942,0.9915866880622015,1.6492589570209093,-0.18535066802811595
"AdamW (0.8,0.95), scale 1.0",nglab1x_opt_adamw_080950_fixed,trigram,17,-0.5132959388094502,0.9695269601543718,0.5005748422113505,0.026591877618900472
"AdamW (0.9,0.999), scale 1.0",nglab1x_opt_adamw_090999_fixed,bigram,18,-0.4108639634533185,0.9913889029646912,2.7274304704204835,-0.17827207309336301
"AdamW (0.9,0.999), scale 1.0",nglab1x_opt_adamw_090999_fixed,trigram,18,-0.5594426045830652,0.9438760003194505,0.7940020410056792,0.11888520916613032
"RMSProp (0,0.99), scale 2.0",nglab1x_input_v2_fixed,bigram,18,-0.4804681249459481,0.9916612620302245,2.7608398544640913,-0.03906375010810381
"RMSProp (0,0.99), scale 2.0",nglab1x_input_v2_fixed,trigram,18,-0.7295607624440661,0.9606393336396761,0.6371168006519328,0.4591215248881322
