arm,branch,bucket,train_fraction,val_fraction,train_loss,val_loss,bucket_gap,train_contribution,val_contribution,gap_contribution,train_tokens,val_tokens
input,bigram,1,0.035515679253472224,0.021879408094618056,0.2825824169432476,11.81712280827857,11.534540391335323,0.010036106482827337,0.2585516524265458,0.2485155459437185,20948,12905
input,bigram,2,0.021904839409722224,0.015494452582465278,0.6728494404701303,11.016751892593081,10.34390245212295,0.014738658940419657,0.1706985398125681,0.15595988087214846,12920,9139
input,bigram,3,0.015758938259548612,0.012586805555555556,0.9304110993140233,10.307613216134458,9.377202116820435,0.014662291070088445,0.12973992329335907,0.11507763222327062,9295,7424
input,bigram,4,0.013192070855034722,0.010484483506944444,1.0423545926784503,10.106205233141669,9.063850640463219,0.013750815642684974,0.10595834208466946,0.09220752644198449,7781,6184
input,bigram,5,0.011101616753472222,0.009228176540798612,1.161860519577052,9.990250141804145,8.828389622227093,0.012898530209334541,0.09219179199530701,0.07929326178597247,6548,5443
input,bigram,6-8,0.025804307725694444,0.022138807508680556,1.2374841989019076,9.241297326175165,8.003813127273258,0.03193242307414929,0.2045913026346763,0.172658879560527,15220,13058
input,bigram,9-12,0.026185777452256944,0.023078070746527776,1.334264605940271,8.584976747954373,7.250712142014102,0.03493875603357524,0.19812470074658697,0.16318594471301173,15445,13612
input,bigram,13-20,0.037911309136284724,0.034735785590277776,1.4598278184925888,7.956953081463326,6.497125262970737,0.05534398371262068,0.27639101618961015,0.22104703247698948,22361,20488
input,bigram,21-30,0.033899943033854164,0.032857259114583336,1.5662693975308086,7.492331646645521,5.926062249114713,0.05309644335196349,0.2461774822862247,0.1930810389342612,19995,19380
input,bigram,31-50,0.05011155870225695,0.0487518310546875,1.6939407125721488,6.931571764112676,5.237631051540527,0.0848860094562022,0.3379268155874634,0.25304080613126123,29557,28755
input,bigram,51-75,0.04547119140625,0.045405069986979164,1.845776379279385,6.615210384301139,4.769434005021754,0.08392965103534801,0.30036409047778456,0.21643443944243657,26820,26781
input,bigram,76-100,0.03713650173611111,0.036414252387152776,1.9611705184517727,6.244736089387181,4.283565570935409,0.07283101236329419,0.22739739605010625,0.15456638368681208,21904,21478
input,bigram,101-150,0.058219061957465276,0.057517157660590276,2.0261886627189205,6.048719844760651,4.02253118204173,0.11796280329234654,0.3479051729558395,0.22994236966349296,34339,33925
input,bigram,151-200,0.046074761284722224,0.046196831597222224,2.0981594581311396,5.8567083279576435,3.758548869826504,0.0966721961706744,0.2705613683407082,0.1738891721700338,27176,27248
