R,f_lo,f_hi,fbar,gap,gap_ref,s_emp,x_meanfield,load,val_tokens
362000,256,512,361.7,0.31078,0.38501,0.8072,0.72478,9.782,76469
362000,512,1024,723.7,0.18913,0.2483,0.76169,0.8405,9.782,79555
362000,1024,4096,2047.7,0.08083,0.12509,0.64617,0.93715,9.782,65387
362000,4096,32768,11585.1,0.04655,0.09638,0.48305,0.98828,9.782,51494
494000,1,2,1.0,2.33433,5.08142,0.45939,0.00984,7.168,12905
494000,2,4,2.4,2.15856,3.85384,0.56011,0.02376,7.168,16563
494000,4,8,5.3,1.88729,2.92273,0.64573,0.04995,7.168,20656
494000,8,16,11.0,1.48732,2.06918,0.7188,0.09816,7.168,26025
494000,16,32,22.3,1.18473,1.48859,0.79587,0.18119,7.168,33169
494000,32,64,44.9,0.88325,1.075,0.82162,0.3085,7.168,41489
494000,64,128,90.2,0.6472,0.73858,0.87628,0.47252,7.168,53239
494000,128,256,180.7,0.45844,0.50917,0.90037,0.64224,7.168,66140
494000,256,512,361.7,0.33385,0.38501,0.86711,0.78231,7.168,76469
494000,512,1024,723.7,0.21561,0.2483,0.86834,0.87792,7.168,79555
494000,1024,4096,2047.7,0.09849,0.12509,0.78733,0.95315,7.168,65387
494000,4096,32768,11585.1,0.0588,0.09638,0.6101,0.99139,7.168,51494
675000,1,2,1.0,2.87227,5.08142,0.56525,0.0134,5.246,12905
675000,2,4,2.4,2.57504,3.85384,0.66817,0.03219,5.246,16563
675000,4,8,5.3,2.14501,2.92273,0.73391,0.06703,5.246,20656
675000,8,16,11.0,1.64434,2.06918,0.79468,0.12947,5.246,26025
675000,16,32,22.3,1.24604,1.48859,0.83706,0.23217,5.246,33169
675000,32,64,44.9,0.94929,1.075,0.88305,0.37873,5.246,41489
675000,64,128,90.2,0.66563,0.73858,0.90123,0.55037,5.246,53239
675000,128,256,180.7,0.4711,0.50917,0.92523,0.71039,5.246,66140
675000,256,512,361.7,0.34834,0.38501,0.90474,0.83081,5.246,76469
675000,512,1024,723.7,0.2132,0.2483,0.85865,0.90763,5.246,79555
675000,1024,4096,2047.7,0.09343,0.12509,0.74688,0.96528,5.246,65387
675000,4096,32768,11585.1,0.06636,0.09638,0.68852,0.99368,5.246,51494
922000,1,2,1.0,3.65839,5.08142,0.71995,0.01821,3.841,12905
922000,2,4,2.4,3.0315,3.85384,0.78662,0.04345,3.841,16563
922000,4,8,5.3,2.41873,2.92273,0.82756,0.08936,3.841,20656
922000,8,16,11.0,1.82826,2.06918,0.88357,0.16885,3.841,26025
922000,16,32,22.3,1.36045,1.48859,0.91392,0.29229,3.841,33169
922000,32,64,44.9,0.99791,1.075,0.92829,0.45435,3.841,41489
922000,64,128,90.2,0.70755,0.73858,0.958,0.62574,3.841,53239
922000,128,256,180.7,0.49564,0.50917,0.97344,0.77014,3.841,66140
922000,256,512,361.7,0.35442,0.38501,0.92053,0.87026,3.841,76469
922000,512,1024,723.7,0.23158,0.2483,0.93268,0.93066,3.841,79555
922000,1024,4096,2047.7,0.10652,0.12509,0.85153,0.97434,3.841,65387
922000,4096,32768,11585.1,0.07892,0.09638,0.81883,0.99537,3.841,51494
1259000,1,2,1.0,4.02182,5.08142,0.79148,0.0247,2.813,12905
1259000,2,4,2.4,3.23574,3.85384,0.83961,0.05841,2.813,16563
1259000,4,8,5.3,2.55476,2.92273,0.8741,0.11816,2.813,20656
1259000,8,16,11.0,1.87976,2.06918,0.90846,0.21716,2.813,26025
1259000,16,32,22.3,1.36574,1.48859,0.91747,0.3606,2.813,33169
1259000,32,64,44.9,1.01851,1.075,0.94745,0.53206,2.813,41489
1259000,64,128,90.2,0.70197,0.73858,0.95043,0.6954,2.813,53239
1259000,128,256,180.7,0.47465,0.50917,0.93221,0.82063,2.813,66140
1259000,256,512,361.7,0.3446,0.38501,0.89502,0.90157,2.813,76469
1259000,512,1024,723.7,0.21595,0.2483,0.86973,0.94826,2.813,79555
1259000,1024,4096,2047.7,0.09142,0.12509,0.7308,0.98108,2.813,65387
