f,n_contexts,N1_types,cont_types,M,S_eff
731,1,97,220,0.132695,220.0
732,2,447,647,0.305328,323.5
733,2,363,503,0.247613,251.5
734,3,223,403,0.101272,134.3333
735,2,250,411,0.170068,205.5
736,4,916,1310,0.311141,327.5
737,5,410,729,0.111262,145.8
738,4,399,566,0.135163,141.5
739,3,394,636,0.177718,212.0
740,2,349,560,0.235811,280.0
741,2,311,467,0.209852,233.5
742,7,1386,2027,0.266846,289.5714
743,4,642,880,0.216016,220.0
744,4,384,624,0.129032,156.0
745,2,223,346,0.149664,173.0
746,2,197,401,0.132038,200.5
747,3,372,576,0.165997,192.0
748,5,1317,1845,0.352139,369.0
749,4,210,380,0.070093,95.0
750,4,648,960,0.216,240.0
751,5,721,1132,0.192011,226.4
752,4,842,1177,0.27992,294.25
753,5,692,1086,0.183798,217.2
754,3,573,805,0.253316,268.3333
756,3,159,290,0.070106,96.6667
757,1,1,3,0.001321,3.0
758,2,364,558,0.240106,279.0
759,3,380,717,0.166886,239.0
760,5,260,416,0.068421,83.2
761,4,672,962,0.220762,240.5
762,3,405,614,0.177165,204.6667
763,1,90,187,0.117955,187.0
764,4,754,1109,0.246728,277.25
765,2,379,591,0.247712,295.5
766,2,513,717,0.334856,358.5
767,5,536,987,0.139765,197.4
768,2,313,451,0.203776,225.5
770,5,672,1195,0.174545,239.0
771,4,548,806,0.177691,201.5
772,4,514,797,0.166451,199.25
773,2,118,208,0.076326,104.0
775,4,715,1122,0.230645,280.5
776,1,122,188,0.157216,188.0
777,3,581,832,0.249249,277.3333
779,1,86,133,0.110398,133.0
780,1,408,536,0.523077,536.0
781,2,465,645,0.297695,322.5
782,2,158,250,0.101023,125.0
783,3,473,700,0.201362,233.3333
784,2,420,606,0.267857,303.0
785,2,370,538,0.235669,269.0
786,6,584,949,0.123834,158.1667
787,8,838,1444,0.1331,180.5
788,2,357,528,0.226523,264.0
789,2,128,179,0.081115,89.5
792,1,193,282,0.243687,282.0
793,4,832,1239,0.262295,309.75
794,4,658,1066,0.207179,266.5
795,1,194,267,0.244025,267.0
796,3,332,552,0.139028,184.0
797,5,432,778,0.108407,155.6
798,2,511,760,0.320175,380.0
799,1,282,422,0.352941,422.0
800,5,544,862,0.136,172.4
801,2,263,379,0.16417,189.5
802,2,536,762,0.334165,381.0
803,1,5,24,0.006227,24.0
804,1,132,268,0.164179,268.0
805,2,325,510,0.201863,255.0
806,4,647,967,0.200682,241.75
807,1,81,147,0.100372,147.0
808,4,385,592,0.119121,148.0
809,6,784,1214,0.161516,202.3333
810,2,388,626,0.239506,313.0
811,1,420,555,0.517879,555.0
812,2,63,134,0.038793,67.0
813,1,4,24,0.00492,24.0
814,1,261,342,0.320639,342.0
815,2,322,455,0.197546,227.5
816,2,157,235,0.096201,117.5
817,1,88,156,0.107711,156.0
818,1,176,248,0.215159,248.0
819,1,267,405,0.326007,405.0
820,3,299,503,0.121545,167.6667
821,2,225,416,0.137028,208.0
822,1,239,315,0.290754,315.0
823,3,506,728,0.204941,242.6667
824,1,324,425,0.393204,425.0
825,1,284,432,0.344242,432.0
826,2,231,389,0.139831,194.5
827,3,439,716,0.176945,238.6667
828,2,300,453,0.181159,226.5
829,1,242,357,0.291918,357.0
830,3,697,997,0.27992,332.3333
831,2,412,595,0.247894,297.5
832,2,359,538,0.215745,269.0
833,4,676,976,0.202881,244.0
834,1,207,340,0.248201,340.0
835,1,55,88,0.065868,88.0
836,2,135,224,0.080742,112.0
837,3,462,625,0.18399,208.3333
838,2,353,517,0.210621,258.5
839,1,34,59,0.040524,59.0
840,1,235,339,0.279762,339.0
841,2,551,827,0.327586,413.5
843,1,139,206,0.164887,206.0
844,4,760,1145,0.225118,286.25
845,2,436,687,0.257988,343.5
846,1,137,219,0.161939,219.0
847,3,681,949,0.268005,316.3333
848,2,255,481,0.150354,240.5
849,2,141,237,0.083039,118.5
850,2,215,370,0.126471,185.0
852,3,105,209,0.04108,69.6667
853,2,319,573,0.186987,286.5
854,2,228,366,0.133489,183.0
856,2,250,373,0.146028,186.5
857,1,5,27,0.005834,27.0
858,3,534,779,0.207459,259.6667
859,1,104,171,0.121071,171.0
860,2,391,565,0.227326,282.5
861,1,6,11,0.006969,11.0
862,2,331,491,0.191995,245.5
863,1,3,28,0.003476,28.0
864,1,223,298,0.258102,298.0
865,1,62,119,0.071676,119.0
866,2,431,730,0.248845,365.0
867,1,105,241,0.121107,241.0
869,3,222,407,0.085155,135.6667
870,4,637,1010,0.183046,252.5
871,2,410,627,0.235362,313.5
875,2,648,938,0.370286,469.0
876,1,63,110,0.071918,110.0
877,1,123,211,0.140251,211.0
879,1,95,173,0.108077,173.0
880,1,145,243,0.164773,243.0
882,2,322,487,0.18254,243.5
883,4,1014,1492,0.287089,373.0
884,1,364,512,0.411765,512.0
886,2,478,699,0.269752,349.5
888,1,247,357,0.278153,357.0
890,5,808,1236,0.181573,247.2
891,2,322,483,0.180696,241.5
892,2,309,469,0.173206,234.5
893,1,276,357,0.309071,357.0
894,2,348,571,0.194631,285.5
895,2,252,434,0.140782,217.0
896,1,124,207,0.138393,207.0
897,1,8,18,0.008919,18.0
898,1,333,421,0.370824,421.0
899,1,185,255,0.205784,255.0
900,1,77,106,0.085556,106.0
901,1,173,309,0.192009,309.0
902,4,982,1452,0.272173,363.0
903,3,333,593,0.122924,197.6667
904,1,108,192,0.119469,192.0
905,1,86,146,0.095028,146.0
906,1,241,313,0.266004,313.0
907,1,296,427,0.326351,427.0
908,1,431,574,0.47467,574.0
909,1,79,118,0.086909,118.0
911,1,22,42,0.024149,42.0
913,2,471,720,0.257941,360.0
914,1,173,279,0.189278,279.0
916,3,405,684,0.14738,228.0
919,2,515,709,0.280196,354.5
921,1,435,611,0.472313,611.0
922,2,255,425,0.138286,212.5
923,1,9,14,0.009751,14.0
925,2,357,594,0.192973,297.0
926,3,438,629,0.157667,209.6667
927,2,230,501,0.124056,250.5
928,1,327,483,0.352371,483.0
929,2,665,922,0.357912,461.0
930,1,49,84,0.052688,84.0
931,4,630,983,0.169173,245.75
933,2,316,484,0.169346,242.0
935,1,95,143,0.101604,143.0
938,1,63,95,0.067164,95.0
939,3,397,594,0.14093,198.0
940,2,712,955,0.378723,477.5
943,1,345,468,0.365854,468.0
944,2,254,488,0.134534,244.0
945,1,5,8,0.005291,8.0
946,1,109,179,0.115222,179.0
947,1,288,432,0.304118,432.0
948,1,73,131,0.077004,131.0
949,1,76,141,0.080084,141.0
953,3,700,1078,0.244841,359.3333
954,1,273,431,0.286164,431.0
955,1,58,93,0.060733,93.0
956,1,171,302,0.17887,302.0
957,3,348,572,0.121212,190.6667
958,2,333,529,0.1738,264.5
960,2,186,326,0.096875,163.0
962,2,213,380,0.110707,190.0
965,2,215,374,0.111399,187.0
966,2,313,571,0.162008,285.5
967,3,256,435,0.088245,145.0
968,2,469,677,0.242252,338.5
970,3,670,904,0.230241,301.3333
971,2,227,372,0.11689,186.0
972,1,54,90,0.055556,90.0
973,3,713,1055,0.244262,351.6667
974,1,85,155,0.087269,155.0
975,3,1090,1483,0.37265,494.3333
977,1,127,229,0.12999,229.0
978,1,275,407,0.281186,407.0
979,1,6,25,0.006129,25.0
980,1,141,232,0.143878,232.0
982,3,435,745,0.147658,248.3333
988,1,198,318,0.200405,318.0
991,2,58,96,0.029263,48.0
992,1,333,445,0.335685,445.0
993,2,481,687,0.242195,343.5
995,2,131,222,0.065829,111.0
996,1,169,286,0.169679,286.0
998,1,117,198,0.117234,198.0
999,3,822,1128,0.274274,376.0
1000,1,273,396,0.273,396.0
1001,1,133,212,0.132867,212.0
1004,1,110,175,0.109562,175.0
1005,1,121,175,0.120398,175.0
1007,4,424,662,0.105263,165.5
1008,2,300,529,0.14881,264.5
1009,1,308,456,0.305253,456.0
1011,1,101,184,0.099901,184.0
1013,3,696,964,0.229023,321.3333
1016,2,478,769,0.235236,384.5
1019,2,182,350,0.089303,175.0
1021,4,732,1181,0.179236,295.25
1022,1,340,484,0.332681,484.0
1023,1,181,327,0.176931,327.0
1024,1,82,212,0.080078,212.0
1025,1,270,378,0.263415,378.0
1026,3,544,872,0.176738,290.6667
1027,1,183,285,0.178189,285.0
1030,1,246,327,0.238835,327.0
1031,2,546,844,0.264791,422.0
1032,1,195,277,0.188953,277.0
1033,1,27,56,0.026137,56.0
1034,4,776,1260,0.187621,315.0
1037,2,490,765,0.236258,382.5
1038,1,140,223,0.134875,223.0
1041,2,739,1115,0.354947,557.5
1042,1,2,21,0.001919,21.0
1044,2,339,518,0.162356,259.0
1045,1,206,322,0.197129,322.0
1047,2,347,537,0.165712,268.5
1048,2,296,491,0.141221,245.5
1051,1,163,236,0.15509,236.0
1053,2,224,390,0.106363,195.0
1058,1,262,416,0.247637,416.0
1059,1,149,249,0.140699,249.0
1060,2,201,313,0.094811,156.5
1062,1,341,505,0.321092,505.0
1066,1,179,312,0.167917,312.0
1067,1,334,494,0.313027,494.0
1068,1,344,489,0.322097,489.0
1069,3,301,616,0.093857,205.3333
1070,1,139,245,0.129907,245.0
1072,2,137,216,0.063899,108.0
1075,2,260,484,0.12093,242.0
1076,1,204,316,0.189591,316.0
1079,1,277,454,0.256719,454.0
1081,1,198,266,0.183164,266.0
1082,2,203,363,0.093808,181.5
1085,3,925,1409,0.284178,469.6667
1086,1,188,336,0.173112,336.0
1088,1,143,232,0.131434,232.0
1090,1,126,168,0.115596,168.0
1091,1,82,140,0.07516,140.0
1093,1,28,37,0.025618,37.0
1095,1,30,51,0.027397,51.0
1097,1,100,159,0.091158,159.0
1099,1,258,439,0.234759,439.0
1101,1,274,420,0.248865,420.0
1104,1,75,136,0.067935,136.0
1107,1,280,435,0.252936,435.0
1108,2,210,357,0.094765,178.5
1110,1,123,186,0.110811,186.0
1111,1,11,14,0.009901,14.0
1112,2,416,655,0.18705,327.5
1113,2,607,914,0.272686,457.0
1114,1,188,315,0.168761,315.0
1115,3,789,1228,0.235874,409.3333
1118,3,120,231,0.035778,77.0
1120,2,381,617,0.170089,308.5
1121,1,138,212,0.123104,212.0
1124,1,188,369,0.16726,369.0
1126,1,272,408,0.241563,408.0
1127,1,191,337,0.169476,337.0
1134,1,352,548,0.310406,548.0
1137,1,457,649,0.401935,649.0
1138,1,110,174,0.096661,174.0
1140,2,547,758,0.239912,379.0
1141,1,89,205,0.078002,205.0
1142,2,425,685,0.186077,342.5
1146,1,340,542,0.296684,542.0
1147,1,349,521,0.304272,521.0
1148,2,298,588,0.129791,294.0
1149,1,235,423,0.204526,423.0
1151,1,342,518,0.297133,518.0
1152,1,145,255,0.125868,255.0
1154,2,52,97,0.02253,48.5
1155,2,183,364,0.079221,182.0
1158,1,308,487,0.265976,487.0
1161,2,818,1195,0.352283,597.5
1162,1,208,354,0.179002,354.0
1165,1,94,164,0.080687,164.0
1166,2,256,451,0.109777,225.5
1168,1,152,247,0.130137,247.0
1169,1,158,338,0.135158,338.0
1171,3,606,987,0.172502,329.0
1172,1,223,312,0.190273,312.0
1173,1,346,489,0.29497,489.0
1174,2,119,164,0.050681,82.0
1175,2,246,442,0.104681,221.0
1176,1,371,513,0.315476,513.0
1179,1,100,158,0.084818,158.0
1180,1,162,264,0.137288,264.0
1181,1,44,58,0.037257,58.0
1182,1,57,92,0.048223,92.0
1184,1,188,321,0.158784,321.0
1185,1,423,615,0.356962,615.0
1186,2,460,642,0.193929,321.0
1187,2,587,813,0.247262,406.5
1189,1,219,355,0.184188,355.0
1190,2,439,724,0.184454,362.0
1194,1,357,491,0.298995,491.0
1196,1,384,591,0.32107,591.0
1197,1,359,480,0.299916,480.0
1200,1,166,296,0.138333,296.0
1205,3,660,1042,0.182573,347.3333
1206,1,175,349,0.145108,349.0
1209,2,193,310,0.079818,155.0
1212,1,139,263,0.114686,263.0
1213,1,262,459,0.215993,459.0
1220,1,77,123,0.063115,123.0
1223,1,93,149,0.076043,149.0
1224,1,93,142,0.07598,142.0
1227,2,189,268,0.077017,134.0
1233,1,466,629,0.37794,629.0
1234,3,822,1252,0.222042,417.3333
1237,2,124,219,0.050121,109.5
1239,1,452,616,0.36481,616.0
1240,1,12,14,0.009677,14.0
1241,1,122,214,0.098308,214.0
1247,1,167,287,0.133921,287.0
1249,2,306,471,0.122498,235.5
1254,2,84,164,0.033493,82.0
1255,1,186,262,0.148207,262.0
1256,2,875,1217,0.348328,608.5
1259,1,141,274,0.111994,274.0
1262,1,234,314,0.18542,314.0
1265,2,341,506,0.134783,253.0
1266,1,136,216,0.107425,216.0
1267,1,241,354,0.190213,354.0
1268,1,78,121,0.061514,121.0
1270,2,454,758,0.17874,379.0
1271,1,557,786,0.438238,786.0
1274,1,74,152,0.058085,152.0
1275,1,170,242,0.133333,242.0
1276,2,599,987,0.234718,493.5
1278,1,332,503,0.259781,503.0
1280,1,489,715,0.382031,715.0
1281,2,604,925,0.235753,462.5
1282,1,446,647,0.347894,647.0
1284,1,132,210,0.102804,210.0
1286,1,233,292,0.181182,292.0
1287,1,316,446,0.245532,446.0
1295,1,193,314,0.149035,314.0
1298,2,460,711,0.177196,355.5
1299,2,549,892,0.211316,446.0
1303,1,351,547,0.269378,547.0
1304,2,637,1061,0.244248,530.5
1305,2,708,1056,0.271264,528.0
1307,1,33,61,0.025249,61.0
1308,1,205,336,0.156728,336.0
1311,1,318,545,0.242563,545.0
1315,1,344,571,0.261597,571.0
1316,3,671,1203,0.169959,401.0
1317,1,301,433,0.22855,433.0
1319,2,353,555,0.133813,277.5
1321,1,347,498,0.26268,498.0
1323,1,15,21,0.011338,21.0
1324,1,218,438,0.164653,438.0
1326,1,123,205,0.09276,205.0
1327,1,114,179,0.085908,179.0
1330,2,123,201,0.046241,100.5
1335,1,429,714,0.321348,714.0
1339,1,183,386,0.136669,386.0
1342,1,251,433,0.187034,433.0
1345,1,122,222,0.090706,222.0
1346,1,71,100,0.052749,100.0
1349,1,81,141,0.060044,141.0
1356,1,198,381,0.146018,381.0
1357,1,557,770,0.410464,770.0
1359,1,234,382,0.172185,382.0
1365,3,767,1221,0.187302,407.0
1367,1,134,230,0.098025,230.0
1372,1,480,722,0.349854,722.0
1373,1,66,86,0.04807,86.0
1374,1,85,162,0.061863,162.0
1375,1,497,755,0.361455,755.0
1377,1,141,218,0.102397,218.0
1378,1,71,93,0.051524,93.0
1386,1,223,334,0.160895,334.0
1388,1,417,587,0.300432,587.0
1389,1,360,529,0.259179,529.0
1390,2,385,711,0.138489,355.5
1401,1,262,399,0.187009,399.0
1402,1,89,152,0.063481,152.0
1403,1,172,304,0.122594,304.0
1407,1,464,764,0.32978,764.0
1408,1,383,630,0.272017,630.0
1409,1,183,348,0.129879,348.0
1412,2,585,883,0.207153,441.5
1418,2,381,689,0.134344,344.5
1419,1,106,235,0.0747,235.0
1424,1,56,88,0.039326,88.0
1427,1,356,474,0.249474,474.0
1429,1,540,779,0.377887,779.0
1431,1,244,337,0.17051,337.0
1440,1,63,112,0.04375,112.0
1441,1,103,163,0.071478,163.0
1443,1,254,361,0.176022,361.0
1446,1,227,368,0.156985,368.0
1447,2,309,527,0.106773,263.5
1449,1,109,212,0.075224,212.0
1451,2,497,754,0.171261,377.0
1455,1,144,264,0.098969,264.0
1457,1,130,206,0.089224,206.0
1463,1,12,21,0.008202,21.0
1465,1,602,887,0.410922,887.0
1466,1,27,50,0.018417,50.0
1471,1,542,823,0.368457,823.0
1473,1,377,586,0.25594,586.0
1476,1,6,28,0.004065,28.0
1477,1,195,319,0.132024,319.0
1479,1,218,326,0.147397,326.0
1481,1,223,338,0.150574,338.0
1482,1,187,309,0.126181,309.0
1484,1,225,338,0.151617,338.0
1485,2,504,821,0.169697,410.5
1492,1,122,214,0.081769,214.0
1494,1,374,546,0.250335,546.0
1495,1,151,287,0.101003,287.0
1497,1,51,77,0.034068,77.0
1503,1,525,802,0.349301,802.0
1504,1,585,868,0.388963,868.0
1505,1,28,47,0.018605,47.0
1506,1,391,649,0.259628,649.0
1511,1,174,259,0.115156,259.0
1512,1,261,455,0.172619,455.0
1514,1,199,370,0.13144,370.0
1521,1,361,631,0.237344,631.0
1526,1,539,809,0.353211,809.0
1537,2,218,374,0.070917,187.0
1540,1,261,514,0.169481,514.0
1544,1,51,87,0.033031,87.0
1548,1,337,499,0.2177,499.0
1549,1,532,774,0.343447,774.0
1550,1,142,267,0.091613,267.0
1551,2,446,785,0.143778,392.5
1553,1,91,197,0.058596,197.0
1557,1,21,31,0.013487,31.0
1563,1,160,340,0.102367,340.0
1564,2,328,661,0.104859,330.5
1568,1,327,469,0.208546,469.0
1570,1,379,618,0.241401,618.0
1574,1,298,498,0.189327,498.0
1575,1,183,361,0.11619,361.0
1576,1,357,614,0.226523,614.0
1580,1,397,651,0.251266,651.0
1581,1,162,374,0.102467,374.0
1582,1,12,18,0.007585,18.0
1586,1,346,573,0.218159,573.0
1597,1,236,359,0.147777,359.0
1599,1,471,774,0.294559,774.0
1610,1,255,418,0.158385,418.0
1614,2,327,597,0.101301,298.5
1615,1,281,459,0.173994,459.0
1624,2,375,645,0.115456,322.5
1625,1,347,614,0.213538,614.0
1642,1,157,295,0.095615,295.0
1645,1,393,564,0.238906,564.0
1647,1,434,696,0.263509,696.0
1650,1,194,391,0.117576,391.0
1658,1,40,141,0.024125,141.0
1663,1,184,286,0.110643,286.0
1665,1,186,362,0.111712,362.0
1666,2,342,542,0.102641,271.0
1669,1,222,332,0.133014,332.0
1670,1,262,437,0.156886,437.0
1678,1,423,614,0.252086,614.0
1679,1,419,706,0.249553,706.0
1692,1,183,306,0.108156,306.0
1693,1,155,246,0.091553,246.0
1697,1,402,684,0.236889,684.0
1700,2,433,648,0.127353,324.0
1705,2,840,1345,0.246334,672.5
1708,2,536,921,0.156909,460.5
1711,1,431,723,0.251899,723.0
1719,1,118,210,0.068645,210.0
1728,1,159,312,0.092014,312.0
1730,1,55,85,0.031792,85.0
1732,1,234,441,0.135104,441.0
1735,1,146,307,0.08415,307.0
1739,1,316,581,0.181714,581.0
1748,1,195,376,0.111556,376.0
1778,1,365,634,0.205287,634.0
1783,1,207,363,0.116096,363.0
1787,1,66,127,0.036933,127.0
1791,1,311,537,0.173646,537.0
1798,1,455,665,0.253059,665.0
1799,1,390,718,0.216787,718.0
1800,1,257,492,0.142778,492.0
1801,1,234,438,0.129928,438.0
1805,2,484,776,0.134072,388.0
1806,1,3,13,0.001661,13.0
1807,1,556,832,0.307692,832.0
1808,1,150,272,0.082965,272.0
1820,2,385,577,0.105769,288.5
1824,1,253,457,0.138706,457.0
1826,1,354,509,0.193866,509.0
1832,2,616,934,0.168122,467.0
1840,2,186,266,0.050543,133.0
1847,1,52,70,0.028154,70.0
1848,1,135,218,0.073052,218.0
1852,1,208,439,0.112311,439.0
1860,2,752,1198,0.202151,599.0
1866,1,72,121,0.038585,121.0
1869,1,604,905,0.323167,905.0
1883,1,210,384,0.111524,384.0
1884,1,388,698,0.205945,698.0
1890,1,200,336,0.10582,336.0
1891,1,341,570,0.180328,570.0
1895,1,181,312,0.095515,312.0
1900,1,360,619,0.189474,619.0
1901,1,81,151,0.042609,151.0
1902,1,107,153,0.056257,153.0
1903,1,183,300,0.096164,300.0
1907,1,185,297,0.097011,297.0
1911,1,212,303,0.110937,303.0
1916,1,62,135,0.032359,135.0
1917,1,234,503,0.122066,503.0
1930,1,453,721,0.234715,721.0
1940,1,17,30,0.008763,30.0
1951,1,456,615,0.233726,615.0
1954,1,478,784,0.244626,784.0
1956,1,41,75,0.020961,75.0
1960,1,502,794,0.256122,794.0
1966,1,446,777,0.226857,777.0
1973,1,252,417,0.127724,417.0
1975,1,487,677,0.246582,677.0
1976,1,276,606,0.139676,606.0
1978,1,203,327,0.102629,327.0
1981,1,346,488,0.174659,488.0
1987,1,97,147,0.048817,147.0
1992,1,277,483,0.139056,483.0
1997,1,11,25,0.005508,25.0
1999,1,195,304,0.097549,304.0
2000,1,179,279,0.0895,279.0
2004,1,363,494,0.181138,494.0
2010,1,369,604,0.183582,604.0
2015,2,830,1415,0.205955,707.5
2018,1,20,30,0.009911,30.0
2024,1,190,302,0.093874,302.0
2033,1,17,81,0.008362,81.0
2050,1,202,366,0.098537,366.0
2052,1,335,478,0.163255,478.0
2057,1,207,321,0.100632,321.0
2068,1,136,233,0.065764,233.0
2079,1,151,239,0.072631,239.0
2090,1,35,159,0.016746,159.0
2099,1,293,409,0.13959,409.0
2102,1,19,33,0.009039,33.0
2107,1,212,348,0.100617,348.0
2113,1,172,442,0.081401,442.0
2118,1,299,454,0.141171,454.0
2119,1,271,478,0.127891,478.0
2120,2,661,1005,0.155896,502.5
2126,1,182,297,0.085607,297.0
2128,1,95,263,0.044643,263.0
2130,1,406,722,0.19061,722.0
2147,1,158,297,0.073591,297.0
2157,1,400,701,0.185443,701.0
2160,1,235,427,0.108796,427.0
2190,1,84,119,0.038356,119.0
2209,1,32,138,0.014486,138.0
2215,2,1063,1762,0.239955,881.0
2232,1,615,966,0.275538,966.0
2233,1,136,272,0.060905,272.0
2239,2,487,1005,0.108754,502.5
2248,1,684,1080,0.30427,1080.0
2251,1,25,83,0.011106,83.0
2255,1,362,626,0.160532,626.0
2257,1,202,370,0.089499,370.0
2260,1,120,250,0.053097,250.0
2262,1,580,984,0.25641,984.0
2269,1,449,755,0.197885,755.0
2273,1,275,466,0.120985,466.0
2277,1,207,336,0.090909,336.0
2278,1,251,410,0.110184,410.0
2281,1,479,861,0.209996,861.0
2287,1,387,668,0.169217,668.0
2288,1,136,226,0.059441,226.0
2290,1,105,195,0.045852,195.0
2295,1,23,39,0.010022,39.0
2300,1,83,123,0.036087,123.0
2307,1,133,196,0.057651,196.0
2311,1,155,291,0.067071,291.0
2316,1,304,540,0.131261,540.0
2321,1,42,53,0.018096,53.0
2325,1,225,363,0.096774,363.0
2352,1,197,464,0.083759,464.0
2357,1,752,1094,0.31905,1094.0
2381,1,238,337,0.099958,337.0
2407,1,151,278,0.062734,278.0
2409,1,155,423,0.064342,423.0
2412,1,498,911,0.206468,911.0
2415,1,26,35,0.010766,35.0
2420,1,195,349,0.080579,349.0
2430,1,361,526,0.14856,526.0
2441,1,168,311,0.068824,311.0
2443,1,285,579,0.11666,579.0
2446,1,189,408,0.077269,408.0
2490,1,682,1107,0.273896,1107.0
2512,1,113,228,0.044984,228.0
2514,1,510,877,0.202864,877.0
2526,1,42,112,0.016627,112.0
2545,1,153,257,0.060118,257.0
2547,1,169,293,0.066353,293.0
2554,1,295,522,0.115505,522.0
2582,1,33,48,0.012781,48.0
2587,2,456,805,0.088133,402.5
2588,1,70,117,0.027048,117.0
2615,1,421,749,0.160994,749.0
2652,1,293,631,0.110483,631.0
2692,1,141,258,0.052377,258.0
2696,1,21,112,0.007789,112.0
2728,1,134,244,0.04912,244.0
2755,1,467,772,0.16951,772.0
2764,1,6,11,0.002171,11.0
2768,1,126,317,0.04552,317.0
2769,1,446,893,0.161069,893.0
2782,1,321,575,0.115385,575.0
2789,1,505,909,0.181068,909.0
2797,1,129,237,0.046121,237.0
2802,1,615,1020,0.219486,1020.0
2828,1,268,595,0.094767,595.0
2835,1,11,15,0.00388,15.0
2861,1,506,974,0.176861,974.0
2862,1,145,288,0.050664,288.0
2897,1,335,518,0.115637,518.0
2899,1,452,694,0.155916,694.0
2909,1,180,399,0.061877,399.0
2914,1,520,923,0.178449,923.0
2934,1,141,250,0.048057,250.0
2942,1,0,1,0.0,1.0
2944,1,257,376,0.087296,376.0
2973,1,25,131,0.008409,131.0
2974,1,72,126,0.02421,126.0
3003,1,576,1065,0.191808,1065.0
3020,1,709,1297,0.234768,1297.0
3026,1,532,845,0.17581,845.0
3043,1,122,241,0.040092,241.0
3060,1,432,849,0.141176,849.0
3091,1,284,516,0.09188,516.0
3093,1,526,1004,0.170061,1004.0
3110,1,0,4,0.0,4.0
3111,1,226,461,0.072645,461.0
3146,1,0,5,0.0,5.0
3168,1,258,648,0.081439,648.0
3197,1,356,738,0.111354,738.0
3204,1,534,944,0.166667,944.0
3215,1,219,396,0.068118,396.0
3230,1,182,382,0.056347,382.0
3249,1,194,364,0.059711,364.0
3286,1,88,157,0.02678,157.0
3334,1,388,826,0.116377,826.0
3343,1,559,1128,0.167215,1128.0
3350,1,467,761,0.139403,761.0
3380,1,686,1258,0.202959,1258.0
3383,1,661,1232,0.195389,1232.0
3434,1,313,687,0.091147,687.0
3458,1,241,418,0.069693,418.0
3465,1,809,1415,0.233478,1415.0
3466,1,148,244,0.042701,244.0
3545,1,11,100,0.003103,100.0
3564,1,254,408,0.071268,408.0
3588,1,419,760,0.116778,760.0
3590,1,629,1260,0.175209,1260.0
3606,1,253,433,0.070161,433.0
3673,1,596,1131,0.162265,1131.0
3757,1,227,501,0.060421,501.0
3787,1,57,190,0.015051,190.0
3793,1,204,385,0.053783,385.0
3834,1,17,103,0.004434,103.0
3914,1,203,400,0.051865,400.0
3965,1,193,423,0.048676,423.0
4211,1,286,697,0.067917,697.0
4320,1,604,934,0.139815,934.0
4335,1,652,1196,0.150404,1196.0
4370,1,18,121,0.004119,121.0
4399,1,250,621,0.056831,621.0
4459,1,544,972,0.122,972.0
4481,1,61,98,0.013613,98.0
4512,1,28,39,0.006206,39.0
4519,1,77,162,0.017039,162.0
4539,1,279,690,0.061467,690.0
4720,1,253,564,0.053602,564.0
4849,1,380,628,0.078367,628.0
4858,1,518,981,0.106628,981.0
4891,1,391,616,0.079943,616.0
4943,1,6,115,0.001214,115.0
4974,1,247,567,0.049658,567.0
5111,1,709,1346,0.13872,1346.0
5343,1,178,225,0.033315,225.0
5488,1,38,88,0.006924,88.0
5667,1,158,309,0.027881,309.0
5709,1,112,166,0.019618,166.0
5736,1,770,1656,0.13424,1656.0
5860,1,13,48,0.002218,48.0
6107,1,394,771,0.064516,771.0
6125,1,299,886,0.048816,886.0
6308,1,266,665,0.042169,665.0
7122,1,748,1598,0.105027,1598.0
7183,1,506,1038,0.070444,1038.0
8579,1,325,625,0.037883,625.0
9519,1,1107,2236,0.116294,2236.0
9524,1,414,776,0.043469,776.0
9527,1,437,846,0.04587,846.0
9848,1,626,1283,0.063566,1283.0
9978,1,447,907,0.044799,907.0
9990,1,267,887,0.026727,887.0
10266,1,975,2255,0.094974,2255.0
10360,1,276,625,0.026641,625.0
10655,1,68,134,0.006382,134.0
10732,1,593,1396,0.055255,1396.0
11187,1,1114,2831,0.09958,2831.0
12114,1,748,1517,0.061747,1517.0
12197,1,962,2477,0.078872,2477.0
12302,1,740,1326,0.060153,1326.0
12469,1,432,1027,0.034646,1027.0
20225,1,638,1479,0.031545,1479.0
25135,1,351,502,0.013965,502.0
26306,1,13,52,0.000494,52.0
41735,1,10,53,0.00024,53.0
44227,1,240,498,0.005427,498.0
71147,1,153,894,0.00215,894.0
