f,n_contexts,N1_types,cont_types,M,S_eff
136,228,8855,12479,0.285571,54.7325
137,224,8524,11961,0.277763,53.3973
138,200,9279,12493,0.336196,62.465
139,185,7067,9991,0.27482,54.0054
140,196,8074,11139,0.294242,56.8316
141,193,7397,10472,0.271819,54.2591
142,186,7284,10348,0.275784,55.6344
143,210,8691,12212,0.289411,58.1524
144,180,7005,9957,0.270255,55.3167
145,191,7705,10950,0.278209,57.3298
146,160,6083,8572,0.260402,53.575
147,165,6428,9056,0.265018,54.8848
148,155,5963,8430,0.259939,54.3871
149,157,6664,9312,0.284872,59.3121
150,195,8572,11861,0.29306,60.8256
151,152,6882,9629,0.299843,63.3487
152,149,6537,9113,0.288635,61.1611
153,175,7061,9996,0.263716,57.12
154,165,7951,10786,0.312908,65.3697
155,150,5830,8386,0.250753,55.9067
156,164,6912,9678,0.270169,59.0122
157,150,6709,9382,0.284883,62.5467
158,143,5547,8042,0.245508,56.2378
159,126,5979,8269,0.298443,65.627
160,154,6393,9080,0.259456,58.961
161,142,6147,8650,0.268874,60.9155
162,134,5976,8570,0.27529,63.9552
163,128,5729,8133,0.274588,63.5391
164,130,5660,8147,0.265478,62.6692
165,127,5543,8015,0.264519,63.1102
166,128,5788,8148,0.272402,63.6562
167,134,5569,8018,0.24886,59.8358
168,140,6129,8660,0.260587,61.8571
169,122,5322,7611,0.258124,62.3852
170,124,5669,8051,0.268928,64.9274
171,119,6148,8539,0.302128,71.7563
172,112,5237,7299,0.271854,65.1696
173,89,3967,5544,0.257648,62.2921
174,108,5228,7428,0.278203,68.7778
175,114,5178,7291,0.259549,63.9561
176,96,4247,6172,0.251361,64.2917
177,128,6156,8595,0.271716,67.1484
178,117,6096,8564,0.292711,73.1966
179,102,4826,6865,0.264322,67.3039
180,98,5112,7016,0.289796,71.5918
181,135,6682,9357,0.27346,69.3111
182,108,5199,7279,0.264499,67.3981
183,101,5020,7070,0.271601,70.0
184,112,5779,8106,0.280425,72.375
185,108,5217,7433,0.261111,68.8241
186,99,4460,6343,0.242207,64.0707
187,101,5480,7626,0.290147,75.505
188,114,5740,8074,0.267824,70.8246
189,94,4416,6334,0.248565,67.383
190,94,3990,5891,0.223404,62.6702
191,105,5096,7359,0.254101,70.0857
192,91,4541,6542,0.259902,71.8901
193,115,5656,8089,0.254832,70.3391
194,96,5130,7154,0.275451,74.5208
195,90,5186,7126,0.295499,79.1778
196,92,4846,6857,0.268744,74.5326
197,90,4818,6771,0.271743,75.2333
198,76,3748,5367,0.24907,70.6184
199,85,4250,6043,0.251256,71.0941
200,93,4212,6055,0.226452,65.1075
201,87,4896,6928,0.279979,79.6322
202,88,4148,5868,0.233348,66.6818
203,83,4773,6702,0.283281,80.747
204,85,3993,5820,0.230277,68.4706
205,74,4055,5645,0.267304,76.2838
206,96,4957,7011,0.250657,73.0312
207,68,3395,4917,0.241191,72.3088
208,69,3822,5394,0.266304,78.1739
209,72,3904,5655,0.259436,78.5417
210,62,2892,4162,0.22212,67.129
211,87,4985,7047,0.271559,81.0
212,70,3734,5247,0.251617,74.9571
213,61,3419,4936,0.263142,80.918
214,79,3916,5679,0.231634,71.8861
215,73,3926,5647,0.250143,77.3562
216,76,4641,6475,0.282712,85.1974
217,62,3374,4853,0.25078,78.2742
218,61,3716,5266,0.279441,86.3279
219,72,4075,5943,0.258435,82.5417
220,63,3417,4815,0.246537,76.4286
221,66,3605,5108,0.247155,77.3939
222,65,3771,5361,0.261331,82.4769
223,62,3892,5518,0.281499,89.0
224,61,3812,5453,0.278981,89.3934
225,55,3241,4633,0.261899,84.2364
226,60,3869,5537,0.285324,92.2833
227,59,3466,4914,0.258792,83.2881
228,57,3188,4520,0.245306,79.2982
229,45,2796,3978,0.271325,88.4
230,56,3164,4498,0.245652,80.3214
231,58,3346,4729,0.249739,81.5345
232,67,4366,6206,0.28088,92.6269
233,51,2663,3857,0.224102,75.6275
234,53,3042,4334,0.245283,81.7736
235,48,2781,3960,0.246543,82.5
236,70,4366,6133,0.264286,87.6143
237,55,3113,4477,0.238819,81.4
238,57,3090,4491,0.227775,78.7895
239,45,2789,3908,0.259321,86.8444
240,51,3206,4533,0.261928,88.8824
241,52,2808,4126,0.224066,79.3462
