branch,bucket,f_mid,train_arm,train_control,val_arm,val_control,memorisation_gain,generalisation_cost,gap_arm,gap_control,net_table_effect
bigram,1,1.0,0.2825824169432476,2.8334644838299345,11.81712280827857,2.9617621632244133,2.550882066886687,8.855360645054157,11.534540391335323,0.12829767939447878,11.406242711940845
bigram,2,2.0,0.6728494404701303,2.691323331958659,11.016751892593081,2.9829868473284895,2.0184738914885285,8.033765045264591,10.34390245212295,0.2916635153698306,10.05223893675312
bigram,3,3.0,0.9304110993140233,2.6910804699645205,10.307613216134458,2.9629811390498886,1.7606693706504972,7.344632077084569,9.377202116820435,0.27190066908536803,9.105301447735066
bigram,4,4.0,1.0423545926784503,2.649293484656586,10.106205233141669,2.9563133696050743,1.6069388919781358,7.1498918635365944,9.063850640463219,0.3070198849484882,8.75683075551473
bigram,5,5.0,1.161860519577052,2.6802943045831813,9.990250141804145,3.046833473158147,1.5184337850061294,6.943416668645998,8.828389622227093,0.3665391685749655,8.461850453652128
bigram,6-8,6.928203230275509,1.2374841989019076,2.693490079673237,9.241297326175165,2.9570474030731426,1.4560058807713294,6.284249923102022,8.003813127273258,0.26355732339990556,7.740255803873351
bigram,9-12,10.392304845413264,1.334264605940271,2.7222546576585427,8.584976747954373,2.9926654183929937,1.3879900517182717,5.5923113295613796,7.250712142014102,0.27041076073445103,6.980301381279651
bigram,13-20,16.1245154965971,1.4598278184925888,2.754472854552634,7.956953081463326,3.005961193331985,1.294645036060045,4.950991888131341,6.497125262970737,0.2514883387793514,6.245636924191386
bigram,21-30,25.099800796022265,1.5662693975308086,2.7526288000889094,7.492331646645521,3.091613080176557,1.1863594025581008,4.400718566468964,5.926062249114713,0.3389842800876477,5.587077969027065
bigram,31-50,39.370039370059054,1.6939407125721488,2.8179210079574313,6.931571764112676,3.0510038829000385,1.1239802953852824,3.8805678812126376,5.237631051540527,0.23308287494260727,5.00454817659792
bigram,51-75,61.84658438426491,1.845776379279385,2.9129488007804967,6.615210384301139,3.1550502617332263,1.0671724215011116,3.4601601225679124,4.769434005021754,0.24210146095272966,4.527332544069024
bigram,76-100,87.17797887081348,1.9611705184517727,2.912226086515322,6.244736089387181,3.1288543717413453,0.9510555680635493,3.1158817176458355,4.283565570935409,0.2166282852260233,4.066937285709384
bigram,101-150,123.08533625091171,2.0261886627189205,2.875047055136738,6.048719844760651,3.1455522244566225,0.8488583924178177,2.9031676203040284,4.02253118204173,0.27050516931988433,3.752026012721846
bigram,151-200,173.78147196982766,2.0981594581311396,2.874574335904705,5.8567083279576435,3.164177430691303,0.7764148777735653,2.6925308972663404,3.758548869826504,0.2896030947865982,3.4689457750399058
bigram,201-300,245.5605831561735,2.1594915913010495,2.83018606405107,5.610775703049663,3.090259608116256,0.6706944727500206,2.520516094933407,3.4512841117486137,0.260073544065186,3.1912105676834277
