branch,K,T,alpha_rank_window,r2,window_lo,window_hi,f_at_lo,f_at_hi,alpha_count_of_counts,beta_meas,gamma_net,gamma_raw,gamma_pred,alpha_needed_net,alpha_needed_raw,mass_f_le_8
bigram,3541098,49716935,0.9857,0.9783,2000.0,200000.0,1620,30,1.423,0.252746,0.5761,0.501,0.2634,0.5673,0.6678,0.1237
trigram,19027841,49716934,0.841,0.9966,100000.0,930000.0,42,7,0.8441,0.318121,0.6648,0.6526,0.4266,0.4916,0.5095,0.557
