A_vertical,branch,epoch,n_f_bins,ref_epoch,rmse_ef,rmse_vertical
1.0,bigram,1,688,1,nan,nan
1.2790718979576607,bigram,2,688,1,1.5682959541302341,1.0266711643005666
7.07418776033503,bigram,3,688,1,2.7104742262179338,0.6245427386201898
10.672078845801783,bigram,4,688,1,3.098925525667553,0.6385771221473648
14.021427154856424,bigram,5,688,1,3.3672751366618985,0.6560021837078651
17.173584465736397,bigram,6,688,1,3.5436364436232264,0.6703971465622717
20.23934716194186,bigram,7,688,1,3.690629106731739,0.6845592507571715
23.160267690765448,bigram,8,688,1,3.830529964529891,0.6917811552168731
26.18634384598161,bigram,9,688,1,3.926669102780052,0.7005185722921409
28.61948242525377,bigram,10,688,1,4.000177755319666,0.7067487539939068
nan,trigram,1,205,2,nan,nan
1.0,trigram,2,205,2,nan,nan
11.114554996690647,trigram,3,205,2,3.091894344889432,0.7330517676790856
18.207002723489396,trigram,4,205,2,3.4543182581390357,0.7881031991390852
25.461119908141036,trigram,5,205,2,4.109594259294782,0.8359093198254692
32.99689710282386,trigram,6,205,2,4.165890187572165,0.8729712464545623
41.83325172220238,trigram,7,205,2,4.5808003094436005,0.8979107434421264
49.87802824168663,trigram,8,205,2,4.583147228915543,0.9031128623990503
58.86788026568992,trigram,9,205,2,4.71736756091553,0.9037299358291024
66.40247749912673,trigram,10,205,2,4.791458967055253,0.8856415694769528
