branch,beta_gap,beta_M,alpha_effective,gap_window,M_window,gap_weighting,M_weighting,comparison_status,amplitude_C,weighted_linear_R2,multiplicative_RMSE,holdout_rule,holdout_R2,holdout_multiplicative_RMSE,source_gap,source_M
bigram,0.2548202539351711,0.257900382026397,1.3475279811228398,"matched geometric bins, 1<=fbar<=721.2",same matched geometric bins,validation token count per bin,same validation token count per bin,aligned shape test,8.309670593689082,0.9637965033319948,0.057369441393141374,fit C on fbar<=100; test 100<fbar<=721.2,0.8837312077634509,0.04767508139933163,docs/figs/theory/theory_missing_mass_bigram.csv,docs/figs/theory/theory_missing_mass_bigram.csv
trigram,0.3181214825388326,0.319415493938707,1.469325250713158,registered 7-bin positive-gap geometric fit,"exact f in [1,100]",token-mass weighted geometric bins,number of contexts n(f),cross-check only; finite windows/weights differ,,,,,,,docs/appendices/s1_scaling_three_axis/s1_scaling_fits.csv,docs/figs/theory/theory_missing_mass_trigram.csv
