branch,layer,hash,row,train_tokens,val_tokens,distinct_contexts_train,distinct_contexts_val,train_mean,val_mean,gap
bigram,0,0,31756,40,30,39,30,4.761760211735964,3.9543710133681693,-0.8073891983677943
bigram,0,0,5573,22,21,21,21,3.5543361435728995,3.8549263634347533,0.30059021986185375
bigram,0,0,4848,12,16,12,16,6.77545549472173,4.7809855146333575,-1.9944699800883727
bigram,0,0,29344,33,24,33,24,4.611777665037097,4.420939636727174,-0.19083802830992358
bigram,0,0,2374,47,33,47,32,3.5481820625074683,4.685973154776024,1.1377910922685555
bigram,0,0,2270,34,33,34,33,4.542240338619141,4.967990054325624,0.4257497157064831
bigram,0,0,32009,23,13,14,13,3.917709744494894,5.06554869046578,1.1478389459708862
bigram,0,0,20182,24,13,24,13,4.269306187827776,2.113181865845735,-2.1561243219820407
bigram,0,0,9238,40,23,38,23,4.761857538460754,6.031281261340432,1.2694237228796776
bigram,0,0,9567,61,63,58,62,4.4533312814157515,3.813172826129529,-0.6401584552862225
bigram,0,0,1720,24,8,24,8,3.4590443149209023,2.862132710404694,-0.5969116045162082
bigram,0,0,31472,14,31,14,31,4.727020127432687,3.793705085908333,-0.9333150415243541
bigram,0,0,11677,15,14,15,14,3.989141118526459,4.787048715299794,0.7979075967733351
bigram,0,0,27658,22,13,22,13,4.769934036514976,3.634233701114471,-1.135700335400505
bigram,0,0,24131,28,20,25,20,4.229846815977778,5.323226235806942,1.093379419829164
bigram,0,0,7243,31,17,23,17,4.768367834629551,4.30124007954317,-0.4671277550863806
bigram,0,0,15332,34,28,30,28,5.0049029251231865,4.200616220120407,-0.8042867050027791
bigram,0,0,4786,56,9,9,9,2.388975757573332,3.4526243723101087,1.0636486147367767
bigram,0,0,23032,60,21,14,21,2.108911015590032,3.871833247088251,1.762922231498219
bigram,0,0,28224,11,16,8,16,3.968014457009055,4.122882895171642,0.1548684381625871
bigram,0,0,19817,9,18,9,18,4.802282101578182,3.7382104992866516,-1.0640716022915306
bigram,0,0,7912,17,26,17,26,4.313403957030353,5.099255236295553,0.7858512792652004
bigram,0,0,14501,81,93,81,93,4.211466084608095,4.3270330846419816,0.1155670000338862
bigram,0,0,15577,149,157,146,157,4.349593946623894,3.9120231063289057,-0.4375708402949887
bigram,0,0,25540,172,171,169,169,4.321112401637947,4.456717666053371,0.13560526441542375
bigram,0,0,6921,35,43,35,43,4.66283351626979,4.7721564789670845,0.10932296269729491
bigram,0,0,15976,10,7,10,7,4.1860973834991455,4.3798700741359164,0.19377269063677094
bigram,0,0,23648,16,27,16,27,5.213500081561506,4.685229899327236,-0.5282701822342695
bigram,0,0,31338,104,109,101,108,4.479122180153354,3.9181863982508114,-0.5609357819025425
bigram,0,0,12258,200,174,187,165,3.8706090184720203,4.361352443961351,0.49074342548933103
bigram,0,0,22173,39,21,36,21,4.598789824125094,4.760476245705615,0.16168642158052027
bigram,0,0,433,21,22,18,22,4.463704319936888,4.201498604093848,-0.26220571584304064
bigram,0,0,2641,9,10,9,10,3.6884033156869314,4.935900307353586,1.247496991666655
bigram,0,0,30779,19,12,19,12,3.884120069309383,5.3331883152325945,1.4490682459232116
bigram,0,0,25912,101,115,101,113,3.648957354763504,4.564794525724416,0.9158371709609119
bigram,0,0,18830,38,38,38,38,3.912477586959109,4.499755546058479,0.58727795909937
bigram,0,0,6322,56,56,55,56,4.035157601001889,4.3247825263866355,0.2896249253847465
bigram,0,0,5514,28,15,8,15,4.446345071707453,3.7252171059449513,-0.721127965762502
bigram,0,0,2054,18,14,17,14,4.105481415987015,3.777190226462803,-0.328291189524212
bigram,0,0,12568,30,34,30,34,4.1958145753344676,4.711224474451122,0.515409899116654
bigram,0,0,9204,19,32,19,32,4.571956739417817,4.369408621831099,-0.2025481175867183
bigram,0,0,18826,47,37,46,37,3.8092747690215547,4.193535162112361,0.38426039309080595
bigram,0,0,17754,582,539,566,522,4.138670422990246,4.427386007615661,0.28871558462541547
bigram,0,0,19634,24,24,24,24,3.1744268148516617,2.5577080900159976,-0.616718724835664
bigram,0,0,25045,6,1,6,1,3.001275340716044,5.984783172607422,2.983507831891378
bigram,0,0,32320,55,70,55,70,4.161219978061589,4.260232914478651,0.09901293641706221
bigram,0,0,31097,10,15,10,15,5.3635013699531555,3.8054551422595977,-1.5580462276935578
bigram,0,0,9208,12,7,12,7,3.4412595671989643,3.4246725184576854,-0.01658704874127892
bigram,0,0,18448,16,11,16,11,4.427057676017284,3.3661728348921645,-1.06088484112512
bigram,0,0,7823,61,29,29,29,3.600677455944576,4.3922302637185,0.791552807773924
bigram,0,0,30675,30,43,30,43,4.882808741182089,4.598967446837315,-0.2838412943447741
bigram,0,0,19595,73,54,73,54,4.295800783046287,3.8853851984324,-0.41041558461388705
bigram,0,0,16530,55,66,55,64,3.801191828332164,4.293950024343124,0.4927581960109597
bigram,0,0,16262,14,25,14,24,3.5353692934981416,4.177319295248017,0.6419500017498754
bigram,0,0,30453,8,4,8,4,4.847683250904083,4.428610533475876,-0.4190727174282074
bigram,0,0,22477,80,73,80,73,3.736203378101345,3.848499892694136,0.11229651459279077
bigram,0,0,32435,197,205,195,202,3.779097908679003,4.272438649598242,0.4933407409192392
bigram,0,0,29596,46,45,46,45,4.669600356026975,4.445753735883368,-0.22384662014360668
bigram,0,0,31989,40,51,40,50,4.151360659301281,3.8127189801007795,-0.33864167920050114
bigram,0,0,15554,242,260,240,254,4.275710411935641,4.327026180023229,0.051315768087587976
bigram,0,0,12377,18,22,18,22,4.316864632897907,5.894602611660957,1.57773797876305
bigram,0,0,8885,14,13,14,13,3.5790123227385005,4.634072285432082,1.0550599626935817
bigram,0,0,10724,30,28,30,28,3.7612843165795007,4.771367720461318,1.0100834038818172
bigram,0,0,6491,36,39,36,39,4.649218071261809,4.117621369850942,-0.5315967014108676
bigram,0,0,24029,391,345,381,338,4.166538502850399,4.332112793117235,0.16557429026683668
bigram,0,0,2700,12,13,12,13,4.225760738054912,3.988918652901283,-0.2368420851536288
bigram,0,0,26924,11,7,11,7,3.9664077652110294,4.4701898864337375,0.503782121222708
bigram,0,0,17633,41,49,41,49,5.3489109415833545,4.1164121223537595,-1.232498819229595
bigram,0,0,29177,489,417,481,415,4.126522287775444,4.227639541211952,0.10111725343650768
bigram,0,0,6115,389,333,384,326,4.210965218090549,4.015563412494038,-0.19540180559651077
bigram,0,0,31959,38,25,38,25,3.678346086636578,3.979172362536192,0.3008262758996141
bigram,0,0,8796,87,86,87,85,3.724026103354134,4.392842624076577,0.668816520722443
bigram,0,0,7511,28,17,26,17,4.343412810670478,3.3960930096149884,-0.9473198010554897
bigram,0,0,22748,30,24,25,24,4.41760046640411,4.383306455643226,-0.034294010760883786
bigram,0,0,15498,20,16,20,16,4.314480599761009,4.313738215714693,-0.0007423840463163245
bigram,0,0,3234,18,20,18,20,3.9395804736349316,4.6518805312924085,0.712300057657477
bigram,0,0,6563,28,45,28,45,4.5667411376323015,3.7747746081608864,-0.7919665294714151
bigram,0,0,5996,27,23,27,23,3.791030256836503,3.148323830935861,-0.6427064259006419
bigram,0,0,21956,14,12,14,12,4.930952396775995,5.132401163379352,0.20144876660335687
bigram,0,0,4007,34,54,34,54,3.4366995679652868,4.303030335903815,0.8663307679385279
bigram,0,0,10020,32,32,32,32,4.835893886163831,4.269388825632632,-0.566505060531199
bigram,0,0,11699,19,19,19,19,3.193020279078107,4.091001648847994,0.8979813697698873
bigram,0,0,3851,132,157,131,155,3.754917472308128,4.353643552909211,0.5987260806010828
bigram,0,0,11778,85,116,81,115,3.665133799700176,3.920570385321204,0.2554365856210281
bigram,0,0,17258,82,72,69,71,4.358414455538433,4.375057257074837,0.016642801536403518
