branch,layer,hash,row,train_tokens,val_tokens,distinct_contexts_train,distinct_contexts_val,train_mean,val_mean,gap
bigram,0,0,490508,22,23,22,23,2.738391828882,3.9713141890419847,1.2329223601599848
bigram,0,0,103877,11,2,10,2,3.0490362322627997,7.014598369598389,3.965562137335589
bigram,0,0,62112,17,3,17,3,3.351547387045096,5.502607345581055,2.1510599585359587
bigram,0,0,100678,14,4,14,4,1.03902199595294,5.468114376068115,4.429092380115176
bigram,0,0,264414,2,1,2,1,2.0805165767669678,0.43941056728363037,-1.6411060094833374
bigram,0,0,326921,16,4,7,4,1.1760863230447285,5.744051694869995,4.567965371825267
bigram,0,0,74774,25,11,23,11,3.5920352409780025,4.518888742747632,0.9268535017696293
bigram,0,0,140639,41,47,38,46,3.0051149586783494,4.372127503772022,1.3670125450936728
bigram,0,0,162544,10,16,10,16,2.8730948746204374,4.688720877516062,1.8156260028956241
bigram,0,0,109981,4,5,4,5,3.0058968927478418,5.798575592041016,2.792678699293174
bigram,0,0,113636,5,1,1,1,2.0633901357650757,2.2153210639953613,0.15193092823028564
bigram,0,0,350712,48,1,2,1,0.08003326432420484,6.184401035308838,6.104367770984633
bigram,0,0,290368,4,3,1,3,1.7339476346969604,1.3693560759226482,-0.36459155877431226
bigram,0,0,85353,2,8,2,8,2.3994386047124863,3.433312352746725,1.0338737480342388
bigram,0,0,466664,8,12,8,12,1.6545731499791145,7.469023098548253,5.8144499485691385
bigram,0,0,243877,68,86,68,86,3.3039193261813447,4.400074151671085,1.09615482548974
bigram,0,0,507097,147,152,144,152,3.2790328599729466,4.5865893458360345,1.307556485863088
bigram,0,0,353220,161,164,159,162,3.162155084130741,4.944772238634059,1.7826171545033178
bigram,0,0,432905,25,32,25,32,3.5742206177483604,4.683429344353499,1.1092087266051385
bigram,0,0,195178,97,103,94,103,3.2525828438343694,4.29582826699334,1.0432454231589703
bigram,0,0,471010,188,155,175,148,2.8092385813572007,4.8771072727595195,2.0678686914023188
bigram,0,0,395857,1,3,1,3,3.093219757080078,3.523656763745142,0.430437006665064
bigram,0,0,63547,12,6,12,6,3.041800300280253,8.044638196627298,5.002837896347046
bigram,0,0,451896,2,3,2,3,2.449587643146515,5.45191756884257,3.0023299256960554
bigram,0,0,248206,31,35,31,35,2.6293298064523873,5.491190685118948,2.8618608786665605
bigram,0,0,399538,44,51,43,51,2.6519963044643604,4.720001549770434,2.068005245306074
bigram,0,0,464266,21,2,1,2,6.689260928714204,9.169153213500977,2.4798922847867724
bigram,0,0,274712,1,1,1,1,5.744132995605469,0.6509893536567688,-5.0931436419487
bigram,0,0,271348,11,13,11,13,3.90918011918918,4.061102639742715,0.15192252055353483
bigram,0,0,443738,567,524,551,509,3.019279464837366,5.098205969482235,2.078926504644869
bigram,0,0,249010,9,11,9,11,2.6720244005555287,4.353396925059232,1.6813725245037032
bigram,0,0,294464,15,20,15,20,3.6875863442818324,5.0207375090525606,1.3331511647707281
bigram,0,0,391545,4,8,4,8,2.4213665425777435,4.437396939843893,2.0160303972661495
bigram,0,0,271352,7,3,7,3,1.7045429916886081,2.4313394029935202,0.7267964113049121
bigram,0,0,346128,4,3,4,3,2.7607122864574194,6.136299474785726,3.375587188328306
bigram,0,0,204431,41,4,10,4,1.1162750868821694,4.67772313952446,3.5614480526422905
bigram,0,0,412811,48,36,48,36,2.3718719299276927,4.496111669086127,2.1242397391584342
bigram,0,0,508050,47,58,47,56,2.59003186598544,4.942233441085434,2.352201575099994
bigram,0,0,245638,2,2,2,2,2.8272979855537415,6.348840236663818,3.521542251110077
bigram,0,0,390901,1,1,1,1,4.614959716796875,4.049420356750488,-0.5655393600463867
bigram,0,0,186317,72,63,72,63,2.8074591461302894,5.252679826170851,2.445220680040562
bigram,0,0,360115,182,192,181,189,2.590556212721342,5.094363542096221,2.5038073293748786
bigram,0,0,62364,12,13,12,13,3.0723568412164846,7.610775250654954,4.538418409438469
bigram,0,0,261365,29,36,29,36,3.5042791169795113,4.789058481186355,1.2847793642068432
bigram,0,0,212162,236,255,234,249,3.185198188033629,5.145866247853496,1.960668059819867
bigram,0,0,77913,9,9,9,9,3.8210894119919327,6.194757822487089,2.3736684104951564
bigram,0,0,403940,14,11,14,11,2.300492335310472,4.782037017020312,2.48154468170984
bigram,0,0,170331,8,6,8,6,1.0224790094653144,7.572303136189778,6.549824126724464
bigram,0,0,351709,386,332,376,325,3.1765557679725496,5.049731423105553,1.8731756551330032
bigram,0,0,166540,3,4,3,4,1.6687115331490834,3.3575204983353615,1.688808965186278
bigram,0,0,378081,7,10,7,10,2.2419616652519574,3.8877315551042555,1.645769889852298
bigram,0,0,389625,468,399,462,397,2.9384806070323215,4.831108068931573,1.8926274618992514
bigram,0,0,104419,366,304,361,299,2.923880958575313,4.643210796239391,1.7193298376640778
bigram,0,0,31959,21,11,21,11,2.6639811974115823,7.51697803627361,4.852996838862028
bigram,0,0,369244,85,82,85,81,2.5289331481117507,5.037394486486248,2.508461338374497
bigram,0,0,302423,15,9,13,9,2.749648479868968,4.272156304620997,1.5225078247520285
bigram,0,0,481500,8,4,3,4,2.983402776531875,4.194559276103973,1.2111564995720983
bigram,0,0,507018,10,12,10,12,4.097305116103962,4.552721132834752,0.4554160167307897
bigram,0,0,429218,6,9,6,9,2.065342197815577,6.483485682137547,4.41814348432197
bigram,0,0,104300,12,8,12,8,3.8586505904095247,5.241594752063975,1.38294416165445
bigram,0,0,135079,24,34,24,34,2.454866546827058,5.362939144282684,2.9080725974556265
bigram,0,0,403236,11,12,11,12,3.516046893190254,4.096640343389784,0.58059345019953
bigram,0,0,470451,4,2,4,2,3.0556208565831184,1.0883429162204266,-1.9672779403626919
bigram,0,0,331531,124,146,123,144,2.8578908575087287,4.8678101325500664,2.0099192750413377
bigram,0,0,306690,59,56,55,56,2.937002380836128,3.6553678515176995,0.7183654706815714
bigram,0,0,50026,75,69,62,68,3.2685629808260517,5.418501743806543,2.149938762980491
bigram,0,0,262774,102,96,90,96,2.4984282660221724,5.140464726596899,2.6420364605747264
bigram,0,0,2197,2,1,1,1,4.859006404876709,2.596360921859741,-2.2626454830169678
bigram,0,0,450140,9,8,9,8,2.5724876203393148,5.960752088925801,3.3882644685864864
bigram,0,0,361576,1,3,1,3,4.623108386993408,5.483767191569011,0.8606588045756025
bigram,0,0,127368,2,2,1,2,0.2599209137260914,8.90941596031189,8.649495046585798
bigram,0,0,279100,58,42,58,42,2.768830018088669,4.610000631566869,1.8411706134782002
bigram,0,0,520652,39,40,36,40,2.8763822860851938,5.4686050478497235,2.5922227617645297
bigram,0,0,461635,3,1,1,1,4.4825661182403564,2.5159168243408203,-1.9666492938995361
bigram,0,0,310515,18,9,12,9,1.6855908194815532,6.567749367819892,4.882158548338339
bigram,0,0,351372,20,5,19,5,2.522261211602017,4.237042352624121,1.7147811410221037
bigram,0,0,111184,4,6,3,6,7.422160625457764,2.729021633276716,-4.693138992181048
bigram,0,0,236893,5,4,2,4,2.2805661082267763,3.34220090508461,1.0616347968578337
