branch,layer,hash,row,train_tokens,val_tokens,distinct_contexts_train,distinct_contexts_val,train_mean,val_mean,gap
bigram,0,0,228364,22,23,22,23,4.4965252388607375,4.056028724283628,-0.44049651457710937
bigram,0,0,103877,12,4,11,4,4.149136126873297,4.163386285305023,0.014250158431726057
bigram,0,0,168688,1,1,1,1,5.605557441711426,5.382667541503906,-0.22288990020751953
bigram,0,0,62112,17,3,17,3,4.952293331132216,5.288877487182617,0.33658415605040126
bigram,0,0,100678,14,4,14,4,3.1395662549350942,4.357646226882935,1.2180799719478403
bigram,0,0,2270,2,1,2,1,5.608924865722656,2.9000468254089355,-2.7088780403137207
bigram,0,0,64777,16,4,7,4,3.8877337276935577,5.762226194143295,1.8744924664497375
bigram,0,0,74774,25,11,23,11,4.623874427080154,4.41765930164944,-0.20621512543071407
bigram,0,0,140639,41,47,38,46,4.237466141944978,3.9466029433384935,-0.29086319860648446
bigram,0,0,67256,4,1,4,1,2.3937344700098038,1.366715431213379,-1.0270190387964249
bigram,0,0,162544,10,18,10,18,3.5132888197898864,3.4878402542736797,-0.025448565516206667
bigram,0,0,109981,4,5,4,5,3.8339325189590454,5.330235624313355,1.4963031053543094
bigram,0,0,113636,7,1,3,1,5.493349075317383,3.6565332412719727,-1.8368158340454102
bigram,0,0,88568,48,1,2,1,0.5309100585679213,7.006187438964844,6.475277380396922
bigram,0,0,28224,4,3,1,3,2.107218384742737,1.1693186859289806,-0.9378996988137562
bigram,0,0,85353,2,8,2,8,4.021498680114746,2.776561960577965,-1.2449367195367813
bigram,0,0,204520,8,12,8,12,3.145216628909111,6.996146420637767,3.850929791728656
bigram,0,0,243877,68,86,68,86,4.306708404842271,4.294575546575754,-0.012132858266517665
bigram,0,0,244953,147,153,144,153,4.262276993027007,3.944476765714391,-0.31780022731261637
bigram,0,0,91076,161,165,159,163,4.402278870224855,4.7178045394661074,0.3155256692412527
bigram,0,0,170761,25,32,25,32,4.6293735060608014,4.731203719973564,0.1018302139127627
bigram,0,0,56416,4,16,4,16,2.313183605670929,4.405841281040921,2.092657675369992
bigram,0,0,195178,97,105,94,105,4.605566471181426,4.253869016805575,-0.3516974543758513
bigram,0,0,208866,188,155,175,148,3.9771341353006915,4.385267342507629,0.4081332072069377
bigram,0,0,197041,6,11,3,11,4.399439215660095,4.72516533461484,0.3257261189547451
bigram,0,0,133713,1,4,1,4,3.306300401687622,4.515056886477396,1.2087564847897738
bigram,0,0,63547,12,6,12,6,4.27511811753114,4.88316015402476,0.6080420364936199
bigram,0,0,189752,3,12,3,12,4.108849922815959,4.864394863446553,0.7555449406305943
bigram,0,0,248206,32,35,32,35,4.003507822402753,4.577862940302917,0.574355117900164
bigram,0,0,137394,44,52,43,52,3.6016256914484654,4.35279916996996,0.7511734785214945
bigram,0,0,202122,21,3,1,3,7.415072259448824,5.814025799433391,-1.601046460015433
bigram,0,0,12568,1,2,1,2,7.8938703536987305,1.794728696346283,-6.0991416573524475
bigram,0,0,9204,11,13,11,13,4.399853191253814,4.046769284285032,-0.35308390696878167
bigram,0,0,181594,569,524,553,509,4.0564511942679555,4.580508138380315,0.5240569441123597
bigram,0,0,249010,15,12,15,12,2.7937790283933284,3.8216143250465393,1.027835296653211
bigram,0,0,32320,15,21,15,21,3.861030892531077,4.672917348798364,0.8118864562672874
bigram,0,0,129401,4,8,4,8,3.12507164478302,4.093491602689028,0.9684199579060078
bigram,0,0,9208,7,3,7,3,2.6297301163098643,2.057571848233541,-0.5721582680763233
bigram,0,0,83984,7,3,7,3,3.2794817856379916,4.333069304625194,1.053587518987202
bigram,0,0,204431,42,4,11,4,3.820510334116296,5.2110899686813354,1.3905796345650394
bigram,0,0,161747,3,4,3,4,3.8856362104415894,4.806781828403473,0.9211456179618835
bigram,0,0,150667,48,36,48,36,3.6039913782536153,4.0734656024724245,0.46947422421880924
bigram,0,0,245906,47,58,47,56,3.8786595734034446,4.616310610146872,0.7376510367434275
bigram,0,0,245638,2,2,2,2,3.8084548115730286,5.497189417481422,1.6887346059083939
bigram,0,0,128757,1,1,1,1,4.948094367980957,4.337411880493164,-0.610682487487793
bigram,0,0,186317,72,63,72,63,3.7832715110853314,4.156110755330383,0.37283924424505166
bigram,0,0,97971,185,192,184,189,3.7172918985919505,4.444982721578526,0.7276908229865757
bigram,0,0,62364,12,14,12,14,4.082192162672679,5.573798557477338,1.4916063948046592
bigram,0,0,261365,29,36,29,36,3.9608507796094337,4.029849946335768,0.06899916672633477
bigram,0,0,212162,236,256,234,250,4.3258215798849635,4.412006557580526,0.0861849776955621
bigram,0,0,77913,9,9,9,9,4.305607159104612,5.13814475801256,0.8325375989079475
bigram,0,0,141796,19,15,19,15,3.5749881942021218,4.966291584571203,1.3913033903690812
bigram,0,0,170331,8,8,8,8,2.6747168109613995,5.161882430315018,2.4871656193536182
bigram,0,0,89565,386,336,376,329,4.225506346364544,4.504996475812125,0.27949012944758067
bigram,0,0,166540,3,5,3,5,4.428136050701141,3.097654950618744,-1.3304811000823973
bigram,0,0,115937,20,18,20,18,5.100395096838474,4.019215453002188,-1.0811796438362862
bigram,0,0,127481,468,400,462,398,4.03446725849597,4.425309708550631,0.39084245005466123
bigram,0,0,104419,366,304,361,299,4.1986224549049425,4.173575960028541,-0.02504649487640176
bigram,0,0,31959,21,11,21,11,3.753630652269792,4.628343950618397,0.8747132983486052
bigram,0,0,107100,85,82,85,81,3.6463923791128976,4.40535667434153,0.7589642952286328
bigram,0,0,40279,15,9,13,9,4.360216756661733,2.8400500958733677,-1.520166660788365
bigram,0,0,219356,9,9,4,9,3.234214625424809,4.692573189735413,1.4583585643106036
bigram,0,0,244874,10,13,10,13,5.044991040229798,4.313903622902357,-0.7310874173274406
bigram,0,0,167074,6,10,6,10,3.9456464052200317,4.337879426404834,0.3922330211848024
bigram,0,0,104300,13,11,13,11,4.187498306998839,3.6983159132386474,-0.489182393760192
bigram,0,0,135079,24,34,24,34,3.292902978602797,4.962670725934646,1.669767747331849
bigram,0,0,141092,11,12,11,12,4.562274076721885,4.288738063536584,-0.27353601318530085
bigram,0,0,208307,8,2,8,2,3.0320145450532436,2.044367663562298,-0.9876468814909458
bigram,0,0,69387,124,146,123,144,3.8397073721298822,4.447222601813711,0.6075152296838287
bigram,0,0,44546,84,103,80,102,3.561596247206797,3.9441837170568195,0.38258746985002245
bigram,0,0,50026,75,69,62,68,4.3089056165516375,4.317639786640411,0.008734170088773752
bigram,0,0,630,102,97,90,97,3.591641868862401,4.672464135107728,1.080822266245327
bigram,0,0,2197,18,2,3,2,4.7738436460494995,2.263096272945404,-2.5107473731040955
bigram,0,0,187996,14,10,14,10,3.342905266476529,5.65429463237524,2.3113893658987115
bigram,0,0,99432,1,3,1,3,7.204891204833984,5.371947606404622,-1.8329435984293623
bigram,0,0,127368,2,2,1,2,3.4885956048965454,7.251112937927246,3.7625173330307007
bigram,0,0,16956,58,42,58,42,3.9487934151086312,4.150644123288138,0.20185070817950646
bigram,0,0,258508,46,41,43,41,3.558209368511074,4.625165424661756,1.0669560561506826
bigram,0,0,199491,4,1,2,1,5.8051735162734985,3.193626880645752,-2.6115466356277466
bigram,0,0,48371,19,9,13,9,3.427802186263235,5.8531332810719805,2.4253310948087456
bigram,0,0,89228,22,5,21,5,3.8631954355673357,2.259899586811662,-1.6032958487556739
bigram,0,0,111184,4,6,3,6,7.386835694313049,2.5099340677261353,-4.876901626586914
bigram,0,0,236893,5,4,2,4,4.0557505011558534,3.660302996635437,-0.39544750452041644
bigram,0,0,162914,31,24,30,23,3.809503533727219,4.906855948269367,1.097352414542148
bigram,0,0,227625,9,3,9,3,4.991796751817067,1.3763625820477803,-3.615434169769287
bigram,0,0,117246,5,3,5,3,2.1155303835868837,5.858745535214742,3.743215151627858
bigram,0,0,103647,3,3,3,3,4.606068134307861,6.369826316833496,1.7637581825256348
bigram,0,0,144880,87,95,86,94,4.030053828056131,4.949050149664675,0.9189963216085442
bigram,0,0,91048,5,8,5,8,3.519811010360718,5.629959136247635,2.110148125886917
bigram,0,0,60359,46,50,45,50,3.6253349393525203,3.8186425175890326,0.19330757823651235
bigram,0,0,152618,7,4,6,4,6.752350773130145,2.0692393782082945,-4.68311139492185
bigram,0,0,61818,4,8,2,8,2.6340397596359253,5.557988069034764,2.9239483093988383
bigram,0,0,6070,6,19,6,19,4.930133531490962,3.5135407996805093,-1.4165927318104528
bigram,0,0,12733,5,3,5,3,3.6208655834198,5.005221009254456,1.3843554258346558
bigram,0,0,147505,16,18,12,18,4.723881371024618,3.9023776431050567,-0.8215037279195609
bigram,0,0,48225,7,2,3,2,3.8865988680294583,6.791119575500488,2.90452070747103
bigram,0,0,261563,5,4,5,4,3.3703489154577255,4.2913007736206055,0.9209518581628799
bigram,0,0,78871,5,6,4,6,3.291664707660675,4.483475711817543,1.1918110041568681
bigram,0,0,35901,1,1,1,1,4.671801567077637,2.000068187713623,-2.6717333793640137
bigram,0,0,104482,64,64,63,64,4.454606783707277,5.269818306900561,0.8152115231932839
bigram,0,0,164850,15,21,15,21,4.680587752660116,4.066845142770381,-0.6137426098897345
bigram,0,0,95225,5,2,5,2,3.109224285185337,6.52511191368103,3.4158876284956934
bigram,0,0,146301,3,2,2,2,4.762021382649739,4.518121123313904,-0.24390025933583548
bigram,0,0,174177,1,1,1,1,0.5813118815422058,4.903253555297852,4.321941673755646
bigram,0,0,117461,2,2,2,2,4.651632308959961,3.8600329160690308,-0.7915993928909302
bigram,0,0,25225,3,1,1,1,2.534615993499756,5.558596611022949,3.0239806175231934
bigram,0,0,90537,9,6,9,6,3.794101624025239,4.045520057280858,0.2514184332556191
bigram,0,0,236192,17,7,17,7,3.4836391108658384,4.250364537084741,0.7667254262189029
bigram,0,0,105235,49,39,49,39,4.790007580679898,4.675941450760151,-0.11406612991974718
bigram,0,0,165682,2,2,2,2,4.465382516384125,7.437542080879211,2.9721595644950867
bigram,0,0,106684,2,4,2,4,4.5800352692604065,4.254991292953491,-0.3250439763069153
bigram,0,0,83734,7,7,7,7,4.034645194453852,6.474696482930865,2.4400512884770125
bigram,0,0,707,3,19,3,19,8.998037656148275,4.2897847039919155,-4.70825295215636
bigram,0,0,214624,14,19,14,19,3.3779406526259015,4.492730212839026,1.1147895602131248
bigram,0,0,215474,7,4,7,4,4.8458231176648825,3.8759992606937885,-0.969823856971094
bigram,0,0,133957,85,100,84,100,4.028072263212765,4.2318171149492265,0.20374485173646129
bigram,0,0,258997,62,38,62,38,4.752117636463335,4.350786644462221,-0.4013309920011139
bigram,0,0,166285,217,210,213,208,4.3545893740235115,4.778873218420276,0.42428384439676403
bigram,0,0,50804,2284,2311,2147,2164,4.051122254446583,4.354083874570198,0.3029616201236145
bigram,0,0,203775,161,186,160,185,4.399639720421122,4.630554621990732,0.23091490156960948
bigram,0,0,47342,5,1,5,1,6.3009145021438595,6.630556106567383,0.3296416044235233
bigram,0,0,70008,9,8,9,8,2.8723212050067053,3.7939512599259615,0.9216300549192562
bigram,0,0,253908,282,310,274,303,3.6946528162307715,4.2646081311526824,0.569955314921911
bigram,0,0,108231,41,24,40,23,3.2303071323151857,3.7782165184617043,0.5479093861465185
bigram,0,0,238682,13,11,13,11,3.3943380581644864,4.4033559723333875,1.009017914168901
bigram,0,0,177068,6,2,2,2,8.424431641896566,5.438735365867615,-2.9856962760289516
bigram,0,0,239830,7,11,3,11,1.3851982142244066,2.5951416709206323,1.2099434566962257
bigram,0,0,26037,38,28,37,28,3.2425713539123535,4.865723440024469,1.6231520861121158
bigram,0,0,211007,90,78,85,78,4.489105733753078,4.62832595470051,0.1392202209474318
bigram,0,0,133822,6,1,6,1,4.637470414241155,6.546109199523926,1.908638785282771
bigram,0,0,260301,22,15,18,15,4.900329467247833,5.312243868907292,0.4119144016594598
bigram,0,0,137637,5,1,4,1,3.441560888290405,6.4455246925354,3.003963804244995
bigram,0,0,70977,5,2,5,2,5.922058242559433,4.557210922241211,-1.3648473203182219
bigram,0,0,116934,5,16,3,16,3.9440407186746596,4.235222892835736,0.2911821741610767
bigram,0,0,144760,3,1,3,1,2.9156628449757895,6.2331366539001465,3.317473808924357
bigram,0,0,42342,61,68,61,68,3.5766936072408884,4.751708725576892,1.1750151183360034
bigram,0,0,246702,54,69,54,69,4.121642683442958,4.497746867151337,0.37610418370837895
bigram,0,0,169684,17,16,17,16,3.995301415815073,4.427334954030812,0.43203353821573875
bigram,0,0,175486,3,6,2,6,5.9400787353515625,3.970171997944514,-1.9699067374070487
bigram,0,0,189780,17,11,15,11,4.2284536860773665,4.551503344015642,0.32304965793827556
bigram,0,0,113241,8,5,6,5,5.188949912786484,4.832333433628082,-0.35661647915840167
bigram,0,0,218298,8,3,6,3,3.884230936819222,4.014832615852356,0.13060167903313413
bigram,0,0,150932,5,1,4,1,3.1624063443392516,0.22600875794887543,-2.936397586390376
bigram,0,0,190478,5,1,2,1,5.015123653411865,5.27127742767334,0.2561537742614748
bigram,0,0,236301,10,10,7,10,2.559819704294205,4.0420953869819645,1.4822756826877597
bigram,0,0,114900,9,3,8,3,2.728033095598221,5.581910133361816,2.8538770377635956
bigram,0,0,79022,3,8,2,8,4.857206741968791,3.3319156276993454,-1.5252911142694456
bigram,0,0,217359,8,6,3,6,0.7500561699271202,3.995076152185599,3.2450199822584787
bigram,0,0,231016,3,5,2,5,5.815186977386475,4.014289808273316,-1.800897169113159
bigram,0,0,103143,4,6,2,6,1.6726737916469574,4.003840224817395,2.331166433170438
bigram,0,0,85988,52,34,46,34,4.041919852678593,4.753338051412036,0.7114181987334431
bigram,0,0,233456,7,1,1,1,4.957118511199951,0.010969454422593117,-4.946149056777358
bigram,0,0,161190,20,11,13,11,2.516123219532892,4.933832569555803,2.417709350022911
bigram,0,0,224730,3,1,2,1,4.147659063339233,1.6695393323898315,-2.478119730949402
bigram,0,0,95193,3,4,1,4,6.8977382977803545,3.104443870484829,-3.7932944272955256
bigram,0,0,4123,4,3,2,3,2.035639889538288,4.922688961029053,2.8870490714907646
bigram,0,0,49004,5,8,4,8,3.2787281692028047,4.1050930544734,0.8263648852705954
bigram,0,0,141301,36,21,32,21,4.270334317038457,4.450410337675185,0.18007602063672845
bigram,0,0,176993,964,982,929,932,4.234991838751275,4.2398732976470255,0.0048814588957508676
bigram,0,0,180266,2,2,2,2,6.195682525634766,4.280600070953369,-1.9150824546813965
bigram,0,0,244909,1,2,1,2,3.466665506362915,4.523859024047852,1.0571935176849365
bigram,0,0,1783,3,1,3,1,4.5649973551432295,4.6612138748168945,0.09621651967366507
bigram,0,0,236217,5,3,5,3,3.3914158821105955,3.8499603271484375,0.458544445037842
bigram,0,0,88466,12,3,5,3,4.543019006649653,4.63135286172231,0.08833385507265668
bigram,0,0,158715,7,5,2,5,6.624885354723249,4.880596612393856,-1.7442887423293927
bigram,0,0,259445,26,3,10,3,5.737977551833655,2.6814212004343667,-3.0565563513992884
bigram,0,0,141292,30,9,14,9,2.0124154480795067,2.7335943412035704,0.7211788931240637
bigram,0,0,72089,4,12,4,12,4.140521973371506,3.9867169335484505,-0.15380503982305527
bigram,0,0,4429,19,10,19,10,3.685578713095502,4.114344376325607,0.42876566323010534
bigram,0,0,79063,4,1,3,1,5.684667587280273,8.142029762268066,2.457362174987793
bigram,0,0,79449,6,9,6,9,1.9416801234086354,4.267966091632843,2.326285968224208
bigram,0,0,99957,9,10,9,10,4.511522697077857,4.20944037400186,-0.3020823230759966
bigram,0,0,215780,23,25,23,25,3.4690444992612237,3.840388657450676,0.3713441581894523
bigram,0,0,17077,2,1,2,1,1.920611560344696,0.8901861906051636,-1.0304253697395325
bigram,0,0,226299,3,2,3,2,1.649756669998169,3.250222146511078,1.600465476512909
bigram,0,0,76547,11,13,11,13,5.043063553219492,4.677089049265935,-0.3659745039535567
bigram,0,0,91669,9,8,9,8,4.070040812095006,3.516144447028637,-0.5538963650663691
bigram,0,0,112013,11,11,10,11,4.3935210972347045,4.769130405207926,0.3756093079732219
bigram,0,0,131610,11,11,10,11,2.940220490775325,4.0491749874570155,1.1089544966816907
bigram,0,0,202980,90,94,89,94,3.976226253400253,4.550837444656707,0.5746111912564538
bigram,0,0,168032,11,10,9,10,5.367066372524608,4.351760209072381,-1.0153061634522267
bigram,0,0,192966,2,1,2,1,3.9613598585128784,9.03120231628418,5.069842457771301
bigram,0,0,208732,1,2,1,2,9.579105377197266,5.275652885437012,-4.303452491760254
bigram,0,0,58885,59,63,59,63,4.051151628432385,4.272423577398831,0.22127194896644564
bigram,0,0,130518,5,18,5,18,5.165368509292603,4.627935250600179,-0.537433258692424
bigram,0,0,214237,1,6,1,6,2.4758784770965576,4.554383158683777,2.0785046815872192
bigram,0,0,52143,35,41,34,41,4.395866884078298,3.472959301911476,-0.9229075821668222
bigram,0,0,72497,17,24,16,23,5.5319978980457085,3.9676019872228303,-1.5643959108228782
bigram,0,0,241790,16,24,15,24,4.152632527984679,4.152870570193045,0.00023804220836609602
bigram,0,0,228122,112,135,110,135,4.131078247461119,4.43921219204311,0.30813394458199106
bigram,0,0,37833,4,20,4,20,6.424058318138123,3.448609173297882,-2.9754491448402405
bigram,0,0,175286,11,12,11,12,5.230749812993136,4.006341240058343,-1.2244085729347933
bigram,0,0,250076,72,94,71,94,4.0600553179780645,4.750357598220634,0.6903022802425696
bigram,0,0,160587,3,7,3,7,5.263493021329244,2.2957114183476994,-2.9677816029815443
bigram,0,0,235583,14,16,14,16,4.759924054145813,4.013632819056511,-0.7462912350893021
bigram,0,0,253448,2,3,2,3,5.585839807987213,5.540252288182576,-0.04558751980463693
bigram,0,0,149949,3,1,3,1,5.773057617867987,2.8681187629699707,-2.904938854898016
bigram,0,0,235953,1,2,1,2,6.166546821594238,2.0383477807044983,-4.12819904088974
bigram,0,0,24809,11,9,11,9,3.936910143630071,6.029542247454326,2.0926321038242546
bigram,0,0,82859,7,12,7,12,3.6407578332083568,4.617535198728244,0.976777365519887
bigram,0,0,148711,3,4,3,4,7.447702089945476,2.5665107294917107,-4.881191360453765
bigram,0,0,230415,2,1,2,1,3.7382048052968457,4.923819541931152,1.1856147366343066
bigram,0,0,200986,43,40,42,40,3.4377672735081855,4.0061240626499055,0.56835678914172
bigram,0,0,231191,99,106,99,106,4.150477380444757,4.608837006191881,0.4583596257471241
bigram,0,0,152712,9,3,8,3,5.405285623338488,5.295148531595866,-0.11013709174262143
bigram,0,0,155578,13,12,12,12,4.2259713755204125,3.297977482279142,-0.9279938932412706
bigram,0,0,195427,15,5,9,5,4.194789397716522,3.9701982021331785,-0.2245911955833435
bigram,0,0,159778,10,1,4,1,2.0377732872962953,4.996600151062012,2.9588268637657165
bigram,0,0,215351,39,34,39,34,3.4652161307823963,3.586869707385845,0.12165357660344878
bigram,0,0,70488,4,2,4,2,3.7413264513015747,5.88394832611084,2.142621874809265
bigram,0,0,23992,6,20,6,19,2.1041398098071418,3.49353685635142,1.3893970465442784
bigram,0,0,146585,4,2,4,2,6.500678300857544,7.390476703643799,0.8897984027862549
bigram,0,0,230606,1,2,1,2,6.573484897613525,4.3119096755981445,-2.261575222015381
bigram,0,0,71414,22,35,20,35,3.939235050569881,4.548216584750584,0.6089815341807028
bigram,0,0,121464,257,229,253,228,4.170978452440397,4.525959656653137,0.3549812042127396
bigram,0,0,220942,54,41,54,41,4.662058339301169,4.3195687648272365,-0.3424895744739329
bigram,0,0,210960,13,20,13,19,3.462701944867149,4.089682099223137,0.6269801543559881
bigram,0,0,63039,33,29,32,29,4.293008570634287,5.039121016346175,0.746112445711888
bigram,0,0,22693,1614,1515,1535,1452,4.125988918126578,4.398307736412078,0.2723188182855001
bigram,0,0,138174,98,100,97,100,4.236374857607393,4.385449598003179,0.14907474039578616
