branch,layer,hash,row,train_tokens,val_tokens,distinct_contexts_train,distinct_contexts_val,train_mean,val_mean,gap
bigram,0,0,15372,73,67,72,67,4.658809103479941,4.613513217543933,-0.04529588593600753
bigram,0,0,5573,29,31,28,31,4.300346719087021,3.629575660551411,-0.6707710585356104
bigram,0,0,4848,33,36,33,36,5.531042063778097,5.080298932062255,-0.4507431317158419
bigram,0,0,12960,38,29,38,29,5.130421855830048,4.453733136941647,-0.6766887188884008
bigram,0,0,2374,71,72,71,70,4.424545699651812,4.504994420645137,0.08044872099332512
bigram,0,0,2270,40,44,40,44,4.617606423236429,5.000174336135387,0.3825679128989581
bigram,0,0,15625,31,30,22,30,4.011946618857403,4.459047137255159,0.44710051839775655
bigram,0,0,3798,45,25,45,25,4.55884691888156,2.608036838769913,-1.9508100801116472
bigram,0,0,9238,88,61,86,60,4.9806396477771075,5.306491806370313,0.3258521585932055
bigram,0,0,9567,110,121,107,119,4.640689708157019,4.668997985324803,0.028308277167783835
bigram,0,0,1720,55,23,55,23,5.145713205771012,4.365516219693034,-0.7801969860779785
bigram,0,0,15088,39,51,39,51,4.901270166923029,3.6606541545513798,-1.2406160123716496
bigram,0,0,11677,38,45,38,45,4.45814156493074,4.541773970259561,0.08363240532882088
bigram,0,0,11274,36,35,36,35,4.659141947825749,4.57834320523377,-0.08079874259197961
bigram,0,0,7747,35,24,32,24,4.506858749474798,5.26495558830599,0.7580968388311922
bigram,0,0,7243,50,30,42,30,4.281706149727106,4.661664110422135,0.3799579606950285
bigram,0,0,15332,49,42,45,42,4.96536426519861,4.105232520161995,-0.8601317450366146
bigram,0,0,4786,68,11,21,11,3.9290772246963837,2.8594349727711896,-1.069642251925194
bigram,0,0,6648,75,35,29,35,5.429863630533219,4.311228229318346,-1.1186354012148723
bigram,0,0,11840,16,18,13,18,4.29985187202692,4.229052270452182,-0.07079960157473852
bigram,0,0,3433,63,54,63,54,4.573170801949879,4.605040658955221,0.03186985700534173
bigram,0,0,7912,22,34,22,34,4.284907232631337,5.105086610597723,0.8201793779663857
bigram,0,0,14501,118,106,118,106,4.378502698992556,4.62175704851606,0.24325434952350378
bigram,0,0,15577,160,159,157,159,4.4430708367028275,4.168484474210151,-0.274586362492677
bigram,0,0,9156,189,176,186,174,4.517136570800431,4.75712772957261,0.23999115877217925
bigram,0,0,6921,54,66,54,66,4.653233573289105,4.789412136711745,0.13617856342263934
bigram,0,0,15976,13,14,13,14,4.196968262012188,4.4095456429890225,0.21257738097683454
bigram,0,0,7264,60,86,60,86,5.1362121441401545,4.658855596914628,-0.47735654722552656
bigram,0,0,14954,109,128,106,127,4.817039461268129,4.040857920335839,-0.7761815409322903
bigram,0,0,12258,219,184,206,175,4.214878920389161,4.380660148452317,0.16578122806315587
bigram,0,0,5789,85,52,78,52,4.877093938643263,5.015446920126963,0.1383529814836999
bigram,0,0,433,26,27,23,27,5.158121632555356,4.504037263354769,-0.6540843692005867
bigram,0,0,2641,39,21,39,21,3.776267597786127,4.396023382135137,0.6197557843490102
bigram,0,0,14395,25,16,25,16,3.746183505655499,5.516904067248106,1.770720561592607
bigram,0,0,9528,120,124,120,122,4.087010941949362,4.620741229302029,0.5337302873526664
bigram,0,0,2446,51,50,51,50,4.189740619686085,4.5683205075562,0.37857988787011454
bigram,0,0,6322,66,72,65,71,4.1049221884750295,4.494038942787382,0.3891167543123526
bigram,0,0,5514,41,37,21,37,5.956570129202701,4.622879167666307,-1.3336909615363943
bigram,0,0,2054,35,22,34,22,4.876205284254891,3.764723870522258,-1.1114814137326334
bigram,0,0,12568,37,39,37,39,4.631996842689586,4.888759935800081,0.2567630931104956
bigram,0,0,9204,24,40,24,40,4.351721003651619,4.093308142572641,-0.25841286107897776
bigram,0,0,2442,58,43,57,43,4.270479292560625,4.377091615190079,0.10661232262945397
bigram,0,0,1370,611,561,595,543,4.466300789163794,4.58742543090564,0.12112464174184545
