branch,layer,hash,row,train_tokens,val_tokens,distinct_contexts_train,distinct_contexts_val,train_mean,val_mean,gap
bigram,0,0,31756,34,26,33,26,4.096061011447626,3.758020994826578,-0.33804001662104755
bigram,0,0,38341,16,7,15,7,3.652378330425563,5.3494820935385565,1.6971037631129935
bigram,0,0,37616,4,7,4,7,6.2203086614608765,3.9888821425182477,-2.231426518942629
bigram,0,0,62112,29,20,29,20,4.46967302416933,4.59655476808548,0.12688174391615004
bigram,0,0,35142,14,5,14,5,2.9746822779998183,3.2523056983947756,0.27762342039495724
bigram,0,0,2270,18,20,18,20,4.652891839543979,4.3432799585163595,-0.30961188102761916
bigram,0,0,64777,19,7,10,7,3.15138052011791,5.680754951068333,2.5293744309504227
bigram,0,0,20182,7,4,7,4,3.797782414638537,1.8641175869852304,-1.9336648276533066
bigram,0,0,9238,30,15,28,15,4.645116462558508,4.934074473381043,0.2889580108225349
bigram,0,0,9567,45,49,42,48,4.393269439207183,3.664422397406734,-0.7288470418004489
bigram,0,0,1720,13,2,13,2,3.0732545164915233,0.9118283689022064,-2.161426147589317
bigram,0,0,31472,13,21,13,21,3.660524015243237,3.4223926895009797,-0.23813132574225726
bigram,0,0,44445,10,6,10,6,3.85693176984787,6.0932807723681135,2.2363490025202437
bigram,0,0,27658,22,12,22,12,4.306760563091799,3.890568520873785,-0.41619204221801365
bigram,0,0,56899,16,8,13,8,4.557342083193362,4.990296244621277,0.4329541614279151
bigram,0,0,40011,27,14,19,14,4.677191136059938,4.007135374205453,-0.6700557618544849
bigram,0,0,48100,9,6,5,6,5.772542549504174,3.0350786530567953,-2.737463896447379
bigram,0,0,37554,51,5,4,5,2.6095909172413396,2.8833779379725457,0.2737870207312061
bigram,0,0,23032,56,15,10,15,1.2524207823776774,3.7260469079017637,2.4736261255240866
bigram,0,0,28224,5,6,2,6,2.8531836032867433,2.9609676202138266,0.10778401692708339
bigram,0,0,19817,6,11,6,11,5.498488187789917,3.0511984445831994,-2.4472897432067175
bigram,0,0,7912,13,16,13,16,3.6543913093897014,6.3997629806399345,2.745371671250233
bigram,0,0,47269,71,88,71,88,4.078801723441103,4.275935422978364,0.197133699537261
bigram,0,0,48345,147,153,144,153,4.237421521079904,3.93616792399838,-0.3012535970815242
bigram,0,0,25540,165,167,163,165,4.249759191683507,4.513548409343212,0.26378921765970453
bigram,0,0,39689,32,40,32,40,4.730340255629926,4.586347298137843,-0.14399295749208285
bigram,0,0,48744,4,1,4,1,5.771329343318939,5.678487777709961,-0.09284156560897827
bigram,0,0,56416,13,23,13,23,5.69188652588771,4.360609919966563,-1.331276605921147
bigram,0,0,64106,99,107,96,106,4.408271505826652,3.8882140345614684,-0.5200574712651833
bigram,0,0,12258,192,155,179,148,3.7071732106643744,4.162108495343296,0.45493528467892164
bigram,0,0,54941,35,7,32,7,4.690853545601879,6.00981651033674,1.3189629647348609
bigram,0,0,433,12,17,9,17,4.44835631052653,4.676113947500092,0.22775763697356144
bigram,0,0,2641,6,9,6,9,2.6198868690844392,4.201484189989666,1.5815973209052272
bigram,0,0,63547,12,10,12,10,3.8710031708081565,5.126091337203979,1.2550881663958227
