branch,layer,hash,row,train_tokens,val_tokens,distinct_contexts_train,distinct_contexts_val,train_mean,val_mean,gap
bigram,0,0,97292,22,23,22,23,4.6506873477589,3.858952423577885,-0.7917349241810152
bigram,0,0,103877,13,4,12,4,3.824586631031707,4.619449600577354,0.7948629695456475
bigram,0,0,37616,2,2,2,2,3.7187579870224,6.9704742431640625,3.2517162561416626
bigram,0,0,62112,27,17,27,17,4.17037918722188,5.183276653289795,1.0128974660679146
bigram,0,0,100678,14,5,14,5,2.7844487077423503,3.501999247074127,0.7175505393317767
bigram,0,0,2270,3,1,3,1,3.5895422299702964,1.8393141031265259,-1.7502281268437705
bigram,0,0,64777,17,4,8,4,3.4356408680186554,5.211723685264587,1.776082817245932
bigram,0,0,20182,4,2,4,2,2.8268793638562784,1.881153330206871,-0.9457260336494073
bigram,0,0,74774,25,13,23,13,4.624318643212319,4.510819973853918,-0.11349866935840058
bigram,0,0,9567,42,47,39,46,4.108768739161038,3.9070152463589576,-0.2017534928020801
bigram,0,0,67256,7,2,7,2,2.9682542426245555,0.8154268115758896,-2.152827431048666
bigram,0,0,31472,11,18,11,18,3.630994590845975,3.3120393802980996,-0.31895521054787546
bigram,0,0,109981,4,5,4,5,3.4265898056328297,5.326408386230469,1.899818580597639
bigram,0,0,122435,13,5,10,5,4.785756101975074,6.003688192367553,1.2179320903924795
bigram,0,0,113636,9,2,5,2,6.260998480849796,4.712376832962036,-1.5486216478877601
bigram,0,0,37554,48,1,1,1,2.562581623593966,10.550497055053711,7.987915431459745
bigram,0,0,88568,48,4,2,4,0.9017040977875391,2.632665897719562,1.730961799932023
bigram,0,0,28224,5,5,2,5,2.3288830518722534,3.0360971331596374,0.7072140812873839
bigram,0,0,85353,2,10,2,10,4.5445796251297,3.21164710521698,-1.3329325199127195
bigram,0,0,73448,9,12,9,12,3.9209262662463717,7.047789702812831,3.126863436566459
bigram,0,0,112805,70,86,70,86,4.247113078756956,4.23858105731305,-0.008532021443905968
bigram,0,0,113881,147,153,144,153,4.180209083907103,3.964346765173033,-0.21586231873407025
bigram,0,0,91076,161,165,159,163,4.371917858709702,4.66960198740108,0.29768412869137784
bigram,0,0,39689,25,32,25,32,4.672207493591122,4.445574107114226,-0.22663338647689635
bigram,0,0,56416,5,17,5,17,2.7840025663375854,4.235626267050119,1.4516237007125334
bigram,0,0,64106,98,106,95,105,4.373405389041089,3.9986997820927876,-0.37470560694830146
