run_id,p,f,exact_gap,variance_term,third_moment_term,fourth_moment_term,through_fourth,local_slope
l6_counttable_freq_exact_v1,0.5,4,0.24323876863191418,0.2,0.0,0.02666666666666668,0.22666666666666668,
l6_counttable_freq_exact_v1,0.5,8,0.1257609093025301,0.11111111111111104,0.0,0.010059442158207579,0.12117055326931861,-0.9516896371617309
l6_counttable_freq_exact_v1,0.5,16,0.06260535100270447,0.05882352941176469,-0.0,0.003120971572019811,0.061944500983784505,-1.0063256764904998
l6_counttable_freq_exact_v1,0.5,32,0.031261323835354175,0.030303030303030304,0.0,0.0008718961887005962,0.0311749264917309,-1.0019070984204224
l6_counttable_freq_exact_v1,0.5,64,0.0156263365743739,0.01538461538461532,0.0,0.0002306175087240168,0.015615232893339336,-1.0003992802683899
l6_counttable_freq_exact_v1,0.5,128,0.00781266283051498,0.007751937984496138,0.0,5.931615307728943e-05,0.007811254137573428,-1.0000933351741483
l6_counttable_freq_exact_v1,0.5,256,0.003906270105898358,0.0038910505836575616,0.0,1.5042088687094399e-05,0.003906092672344656,-1.0000226430871055
l6_counttable_freq_exact_v1,0.5,512,0.0019531274982284566,0.001949317738791406,-0.0,3.7874944887202313e-06,0.0019531052332801262,-1.0000055803510282
l6_counttable_freq_exact_v1,0.5,1024,0.000976562811355046,0.0009756097560976056,0.0,9.502667305079337e-07,0.0009765600228281135,-1.0000013853690277
l6_counttable_freq_exact_v1,0.5,2048,0.0004882812888621262,0.0004880429477794358,-0.0,2.3799217728062166e-07,0.00048828093995671647,-1.0000003451473103
l6_counttable_freq_exact_v1,0.5,4096,0.0002441406298542253,0.00024408103490361792,-0.0,5.955131616246277e-08,0.00024414058621978038,-1.0000000861385954
l6_counttable_freq_exact_v1,0.2,4,0.17738637852789546,0.1663201663201664,-0.024896157952291012,0.04964374793343379,0.19106775630130918,
l6_counttable_freq_exact_v1,0.2,8,0.11239116452756008,0.0993788819875777,-0.009876162185100913,0.022974516000986083,0.11247723580346287,-0.6583666049806332
l6_counttable_freq_exact_v1,0.2,16,0.06208021957826884,0.05527331843121319,-0.003234853832186433,0.00830351763863917,0.06034198223766593,-0.8563230591149953
l6_counttable_freq_exact_v1,0.2,32,0.031327196826187766,0.02931867399633526,-0.0009377287035309559,0.002546380494463293,0.0309273257872676,-0.986717977974673
l6_counttable_freq_exact_v1,0.2,64,0.015633124912482185,0.015124852750832623,-0.0002533969891211618,0.0007091885264139641,0.015580644288125426,-1.0028094942494477
l6_counttable_freq_exact_v1,0.2,128,0.007813393128378232,0.007685175876590341,-6.592959433017802e-05,0.00018743073927671923,0.007806677021536882,-1.0005850782657204
l6_counttable_freq_exact_v1,0.2,256,0.003906355877555937,0.0038741248595017598,-1.6819248665281254e-05,4.819816812086823e-05,0.0039055037789573464,-1.0001258168737919
l6_counttable_freq_exact_v1,0.2,512,0.001953137912646473,0.001945056421565405,-4.247853454680668e-06,1.2221976441471977e-05,0.0019530305445521962,-1.0000295651983164
l6_counttable_freq_exact_v1,0.2,1024,0.0009765640949621472,0.0009745406600647372,-1.0674032993482073e-06,3.077361694363976e-06,0.000976550618459753,-1.0000071817550074
l6_counttable_freq_exact_v1,0.2,2048,0.000488281448204595,0.00048777520097855137,-2.67534595399098e-07,7.720937297316799e-07,0.0004882797601128839,-1.000001770644116
l6_counttable_freq_exact_v1,0.2,4096,0.0002441406497039753,0.00024401403898178644,-6.69693576821453e-08,1.933688456403047e-07,0.00024414043846974462,-1.000000439640323
l6_counttable_freq_exact_v1,0.05,4,0.06071934998222552,0.07890365448504985,-0.04246641869295042,0.05957319824770979,0.09601043403980922,
l6_counttable_freq_exact_v1,0.05,8,0.049637742087627,0.058641975308642,-0.02606310013717423,0.04034447536666036,0.07292335053812812,-0.29071885446125206
l6_counttable_freq_exact_v1,0.05,16,0.038748967927689164,0.03956393924546791,-0.012561211480187764,0.021596611241244023,0.04859933900652417,-0.3572796069609749
l6_counttable_freq_exact_v1,0.05,32,0.026674895354203795,0.0241562644475265,-0.004824552122668184,0.009021385378196418,0.028353097703054733,-0.538675273598001
l6_counttable_freq_exact_v1,0.05,64,0.015375250100648032,0.013612715488735074,-0.001555670320832478,0.00307494277195491,0.015131987939857507,-0.7948727331971815
l6_counttable_freq_exact_v1,0.05,128,0.007834277912845026,0.007273083360039776,-0.00044752654795246363,0.0009137496858510182,0.007739306497938331,-0.9727376657489086
l6_counttable_freq_exact_v1,0.05,256,0.0039087524371994075,0.003766340348203389,-0.00012047789785350318,0.00025036440501230043,0.003896226855362186,-1.003092093594592
l6_counttable_freq_exact_v1,0.05,512,0.0019533917668694374,0.001917479337964895,-3.1287826535744876e-05,6.562024781391499e-05,0.001951811759243065,-1.0007268925200148
l6_counttable_freq_exact_v1,0.05,1024,0.000976593764694408,0.0009675651301749226,-7.974398267115666e-06,1.6803643320345198e-05,0.000976394375228152,-1.0001508493125977
l6_counttable_freq_exact_v1,0.05,2048,0.0004882850434013298,0.0004860210066540793,-2.0130728365614473e-06,4.252045966745918e-06,0.00048825997978426376,-1.0000349791206506
l6_counttable_freq_exact_v1,0.05,4096,0.0002441410924024824,0.00024357419159793487,-5.057290922348258e-07,1.0694875946246923e-06,0.00024413795010032473,-1.0000084460806806
